,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon,regulator,in_iM,y_ome
b0597,entH,U00096.3,,629300,629713,+,proofreading thioesterase in enterobactin biosynthesis,"Secondary metabolites biosynthesis, transport, and catabolism",P0A8Y8,Op585,"RpoD,ryhB,Crp,Fur",True,False
b0598,cstA,U00096.3,,629894,631999,+,pyruvate transporter CstA,Signal transduction mechanisms,P15078,Op586,"RpoD,Crp",False,False
b4512,ybdD,U00096.3,,632182,632379,+,PF04328 family protein YbdD,Function unknown,P0AAS9,Op587,,False,True
b0599,hcxA,U00096.3,,632389,633477,-,hydroxycarboxylate dehydrogenase A,Energy production and conversion,P45579,Op588,,True,False
b0600,ybdL,U00096.3,,633586,634746,+,methionine transaminase,Amino acid transport and metabolism,P77806,Op589,Lrp,True,False
b0601,ybdM,U00096.3,,634747,635376,-,ParB-like nuclease domain-containing protein YbdM,Transcription,P77174,Op590,YdcN,False,True
b0602,ybdN,U00096.3,,635349,636569,-,putative PAPS reductase/DUF3440 domain-containing protein YbdN,Function unknown,P77216,Op591,"RpoD,Fnr,CysB,ArcA",False,True
b0603,ybdO,U00096.3,,636716,637618,-,putative LysR family DNA-binding transcriptional regulator YbdO,Transcription,P77746,Op592,"YeiE,YbdO",False,True
b0604,dsbG,U00096.3,,637827,638573,-,protein sulfenic acid reductase and chaperone DsbG,"Post-translational modification, protein turnover, and chaperones",P77202,Op593,"YfeD,OxyR,Nac",False,False
b0605,ahpC,U00096.3,,638945,639508,+,alkyl hydroperoxide reductase%2C AhpC component,"Post-translational modification, protein turnover, and chaperones",P0AE08,Op594,"RpoD,MetJ,OxyR,Nac",True,False
b0606,ahpF,U00096.3,,639753,641318,+,alkyl hydroperoxide reductase%2C AhpF component,"Post-translational modification, protein turnover, and chaperones",P35340,Op595,"RpoE,RpoD,MetJ,OxyR",True,False
b0607,uspG,U00096.3,,641439,641867,-,universal stress protein G,Signal transduction mechanisms,P39177,Op596,"YfeD,ppGpp,Nac",False,False
b0608,ybdR,U00096.3,,642088,643326,+,putative Zn(2(+))-dependent alcohol dehydrogenase YbdR,Amino acid transport and metabolism,P77316,Op597,Nac,False,True
b4734,yldA,U00096.3,,643330,643419,-,protein YldA,No COG annotation,P0DPN4,Op598,,False,False
b0610,rnk,U00096.3,,643557,643967,-,nucleoside diphosphate kinase regulator,Transcription,P0AFW4,Op599,,False,False
b0611,rna,U00096.3,,644197,645003,-,RNase I,"Translation, ribosomal structure and biogenesis",P21338,Op600,YbiH,False,False
b0612,citT,U00096.3,,645117,646580,-,citrate:succinate antiporter,Inorganic ion transport and metabolism,P0AE74,Op601,YcjW,False,False
b0613,citG,U00096.3,,646631,647509,-,triphosphoribosyl-dephospho-CoA synthase,Nucleotide transport and metabolism,P77231,Op602,"Fnr,NarL,Crp,ArcA,DpiA",False,False
b0614,citX,U00096.3,,647484,648035,-,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,Coenzyme transport and metabolism,P0A6G5,Op603,"Fnr,NarL,Crp,ArcA,DpiA",True,False
b0615,citF,U00096.3,,648039,649571,-,citrate lyase alpha subunit,Energy production and conversion,P75726,Op604,"Fnr,NarL,Crp,ArcA,DpiA",False,False
b0616,citE,U00096.3,,649582,650490,-,citrate lyase beta subunit,Carbohydrate transport and metabolism,P0A9I1,Op605,"Fnr,Crp,NarL,ArcA,DpiA",True,False
b0617,citD,U00096.3,,650487,650783,-,citrate lyase acyl carrier protein,Energy production and conversion,P69330,Op606,"Fnr,Crp,NarL,ArcA,DpiA",False,False
b0618,citC,U00096.3,,650798,651856,-,citrate lyase synthetase,Coenzyme transport and metabolism,P77390,Op607,"Fnr,Crp,NarL,ArcA,DpiA",False,False
b0619,dpiB,U00096.3,,652235,653893,+,sensor histidine kinase DpiB,Signal transduction mechanisms,P77510,Op608,"Fnr,ArcA,Crp,NarL,DpiA,DcuR,ChiX",False,False
b0620,dpiA,U00096.3,,653862,654542,+,DNA-binding transcriptional dual regulator DpiA,Transcription,P0AEF4,Op609,"Fnr,ArcA,Crp,NarL,DpiA,DcuR,ChiX",False,False
b0621,dcuC,U00096.3,,654583,655968,-,anaerobic C4-dicarboxylate transporter DcuC,Inorganic ion transport and metabolism,P0ABP3,Op610,"YeiE,Fnr,ArcA",True,False
b0622,pagP,U00096.3,,656557,657117,+,Lipid A palmitoyltransferase,Cell wall/membrane/envelope biogenesis,P37001,Op611,"PhoP,SlyA",False,False
b0623,cspE,U00096.3,,657292,657501,+,transcription antiterminator and regulator of RNA stability CspE,Transcription,P0A972,Op612,"RpoD,YcaN,Crp,DinJ-YafQ",True,False
b0624,crcB,U00096.3,,657555,657938,-,F(-) channel protein,"Cell cycle control, cell division, chromosome partitioning",P37002,Op613,,False,False
b0627,tatE,U00096.3,,658947,659150,+,twin arginine protein translocation system - TatE protein,"Intracellular trafficking, secretion, and vesicular transport",P0A843,Op614,,True,False
b0628,lipA,U00096.3,,659251,660216,-,lipoyl synthase,Coenzyme transport and metabolism,P60716,Op615,"YheO,Lrp",False,False
b0629,ybeF,U00096.3,,660425,661378,-,putative DNA-binding transcriptional regulator YbeF,Transcription,P30979,Op616,,False,True
b0630,lipB,U00096.3,,661637,662278,-,lipoyl(octanoyl) transferase,Coenzyme transport and metabolism,P60720,Op617,"RpoD,RpoH",False,False
b0631,ybeD,U00096.3,,662379,662642,-,DUF493 domain-containing protein YbeD,Function unknown,P0A8J4,Op618,"RpoD,RpoH",True,True
b0632,dacA,U00096.3,,662752,663963,-,D-alanyl-D-alanine carboxypeptidase DacA,Cell wall/membrane/envelope biogenesis,P0AEB2,Op619,,False,False
b0633,rlpA,U00096.3,,664102,665190,-,rare lipoprotein RlpA,Cell wall/membrane/envelope biogenesis,P10100,Op620,,False,False
b0634,mrdB,U00096.3,,665201,666313,-,peptidoglycan glycosyltransferase MrdB,Cell wall/membrane/envelope biogenesis,P0ABG7,Op621,ppGpp,False,False
b0635,mrdA,U00096.3,,666316,668217,-,peptidoglycan DD-transpeptidase MrdA,Cell wall/membrane/envelope biogenesis,P0AD65,Op622,"YeiE,ppGpp,GlaR",False,False
b0636,rlmH,U00096.3,,668248,668715,-,23S rRNA m(3)psi1915 methyltransferase,"Translation, ribosomal structure and biogenesis",P0A8I8,Op623,ppGpp,False,False
b0637,rsfS,U00096.3,,668719,669036,-,ribosomal silencing factor RsfS,"Translation, ribosomal structure and biogenesis",P0AAT6,Op624,ppGpp,False,False
b0638,cobC,U00096.3,,669296,669907,-,putative adenosylcobalamin phosphatase/alpha-ribazole phosphatase,Carbohydrate transport and metabolism,P52086,Op625,YbiH,False,True
b0639,nadD,U00096.3,,669931,670572,-,nicotinate-nucleotide adenylyltransferase,Coenzyme transport and metabolism,P0A752,Op626,"YfeD,Nac",False,False
b0640,holA,U00096.3,,670574,671605,-,DNA polymerase III subunit delta,"Replication, recombination and repair",P28630,Op627,,False,False
b0641,lptE,U00096.3,,671605,672186,-,lipopolysaccharide assembly protein LptE,Cell wall/membrane/envelope biogenesis,P0ADC1,Op628,YddM,False,False
b0642,leuS,U00096.3,,672201,674783,-,leucine--tRNA ligase,"Translation, ribosomal structure and biogenesis",P07813,Op629,,False,False
b0643,ybeL,U00096.3,,675018,675500,+,DUF1451 domain-containing protein YbeL,"Translation, ribosomal structure and biogenesis",P0AAT9,Op630,ppGpp,False,True
b0644,ybeQ,U00096.3,,675570,676547,-,Sel1 repeat-containing protein YbeQ,"Post-translational modification, protein turnover, and chaperones",P77234,Op631,"ppGpp,LeuO,Nac",False,True
b0645,ybeR,U00096.3,,676711,677418,+,DUF1266 domain-containing protein YbeR,Function unknown,P77627,Op632,Nac,False,True
b0646,djlB,U00096.3,,677415,678842,+,J domain-containing protein DjlB,"Post-translational modification, protein turnover, and chaperones",P77381,Op633,,False,True
b0647,ybeT,U00096.3,,678852,679406,-,Sel1 repeat-containing protein YbeT,Function unknown,P77296,Op634,"omrA,Nac",False,True
b0648,ybeU,U00096.3,,679508,680215,+,DUF1266 domain-containing protein YbeU,Function unknown,P77427,Op635,Nac,False,True
b0649,djlC,U00096.3,,680212,681663,+,co-chaperone DjlC,"Post-translational modification, protein turnover, and chaperones",P77359,Op636,,False,True
b0650,hscC,U00096.3,,681723,683393,-,chaperone protein HscC,"Post-translational modification, protein turnover, and chaperones",P77319,Op637,,False,True
b0651,rihA,U00096.3,,683477,684412,-,pyrimidine-specific ribonucleoside hydrolase RihA,Nucleotide transport and metabolism,P41409,Op638,Crp,True,False
b0652,gltL,U00096.3,,684530,685255,-,glutamate/aspartate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P0AAG3,Op639,"RpoD,RpoN,FlhDC",False,False
b0653,gltK,U00096.3,,685255,685929,-,glutamate/aspartate ABC transporter membrane subunit GltK,Amino acid transport and metabolism,P0AER5,Op640,"RpoD,RpoN,FlhDC",False,False
b0654,gltJ,U00096.3,,685929,686669,-,glutamate/aspartate ABC transporter membrane subunit GltJ,Inorganic ion transport and metabolism,P0AER3,Op641,"RpoD,RpoN,FlhDC",False,False
b0655,gltI,U00096.3,,686839,687747,-,glutamate/aspartate ABC transporter periplasmic binding protein,Amino acid transport and metabolism,P37902,Op642,"RpoD,RpoN,gcvB,FlhDC",False,False
b0656,insH3,U00096.3,,687997,688977,-,IS5 family transposase and trans-activator,"Replication, recombination and repair",P0CE51,Op643,Lrp,False,False
b0657,lnt,U00096.3,,689343,690881,-,apolipoprotein N-acyltransferase,Cell wall/membrane/envelope biogenesis,P23930,Op644,"RpoH,ppGpp",False,False
b0658,ybeX,U00096.3,,690906,691784,-,CorC-HlyC family protein YbeX,Inorganic ion transport and metabolism,P0AE78,Op645,"RpoH,Lrp",False,True
b0659,ybeY,U00096.3,,691874,692341,-,endoribonuclease YbeY,"Translation, ribosomal structure and biogenesis",P0A898,Op646,RpoH,False,False
b0660,ybeZ,U00096.3,,692338,693378,-,PhoH-like protein,Signal transduction mechanisms,P0A9K3,Op647,RpoH,False,True
b0661,miaB,U00096.3,,693531,694955,-,isopentenyl-adenosine A37 tRNA methylthiolase,"Translation, ribosomal structure and biogenesis",P0AEI1,Op648,ppGpp,False,False
b0662,ubiF,U00096.3,,695101,696276,+,3-demethoxyubiquinol 3-hydroxylase,Energy production and conversion,P75728,Op649,,False,False
b0674,asnB,U00096.3,,697513,699177,-,asparagine synthetase B,Amino acid transport and metabolism,P22106,Op650,"GadX,ppGpp,Lrp,gcvB",False,False
b0675,umpH,U00096.3,,699574,700326,-,UMP phosphatase,Carbohydrate transport and metabolism,P0AF24,Op651,"RpoD,Crp,NagC",False,False
b0676,nagC,U00096.3,,700374,701594,-,DNA-binding transcriptional dual regulator NagC,Transcription,P0AF20,Op652,"RpoD,Crp,NagC",False,False
b0677,nagA,U00096.3,,701603,702751,-,N-acetylglucosamine-6-phosphate deacetylase,Carbohydrate transport and metabolism,P0AF18,Op653,"RpoD,Crp,PhoP,NagC",True,False
b0678,nagB,U00096.3,,702811,703611,-,glucosamine-6-phosphate deaminase,Nucleotide transport and metabolism,P0A759,Op654,"RpoD,Crp,NagC",True,False
b0679,nagE,U00096.3,,703944,705890,+,N-acetylglucosamine-specific PTS enzyme IIABC component,Carbohydrate transport and metabolism,P09323,Op655,"RpoD,Crp,NagC",True,False
b0680,glnS,U00096.3,,706093,707757,+,glutamine--tRNA ligase,"Translation, ribosomal structure and biogenesis",P00962,Op656,"RpoD,RpoH",False,False
b0681,chiP,U00096.3,,708334,709740,+,chitooligosaccharide outer membrane channel,Cell wall/membrane/envelope biogenesis,P75733,Op657,"Crp,NagC,ChiX",True,False
b0682,chiQ,U00096.3,,709790,710116,+,lipoprotein ChiQ,Cell wall/membrane/envelope biogenesis,P75734,Op658,"Crp,ppGpp,NagC,ChiX",False,True
b0683,fur,U00096.3,,710200,710646,-,DNA-binding transcriptional dual regulator Fur,Transcription,P0A9A9,Op659,"RpoD,Crp,OxyR,SoxS,Fur,ryhB",False,False
b4637,uof,U00096.3,,710639,710725,-,RyhB-regulated fur leader peptide,No COG annotation,A8DYP9,Op660,"ryhB,YidZ,OxyR,SoxS",True,False
b0684,fldA,U00096.3,,710935,711465,-,flavodoxin 1,Energy production and conversion,P61949,Op661,SoxS,False,False
b0685,ybfE,U00096.3,,711605,711898,-,ribbon-helix-helix domain-containing protein YbfE,Function unknown,P0AAU7,Op662,"RpoH,LexA,ppGpp",False,True
b0686,ybfF,U00096.3,,712038,712802,-,esterase,Function unknown,P75736,Op663,,False,False
b0687,seqA,U00096.3,,712987,713532,+,negative modulator of initiation of replication,"Replication, recombination and repair",P0AFY8,Op664,HU,False,False
b0688,pgm,U00096.3,,713558,715198,+,phosphoglucomutase,Carbohydrate transport and metabolism,P36938,Op665,HU,False,False
b0689,ybfP,U00096.3,,715412,715906,+,lipoprotein YbfP,No COG annotation,P75737,Op666,,False,True
b0692,potE,U00096.3,,716946,718265,-,putrescine transporter PotE,Amino acid transport and metabolism,P0AAF1,Op667,"YbaQ,OmpR",False,False
b0693,speF,U00096.3,,718262,720460,-,inducible ornithine decarboxylase,Amino acid transport and metabolism,P24169,Op668,"YeiE,OmpR",False,False
b4803,speFL,U00096.3,,720718,720822,-,leader peptide SpeFL,No COG annotation,P0DTV7,Op669,OmpR,False,False
b0694,kdpE,U00096.3,,721056,721733,-,DNA-binding transcriptional activator KdpE,Transcription,P21866,Op670,,True,False
b0695,kdpD,U00096.3,,721730,724414,-,sensor histidine kinase KdpD,Signal transduction mechanisms,P21865,Op671,,True,False
b0696,kdpC,U00096.3,,724407,724979,-,K(+) transporting P-type ATPase subunit KdpC,Inorganic ion transport and metabolism,P03961,Op672,"RpoD,ppGpp,KdpE",True,False
b0697,kdpB,U00096.3,,724988,727036,-,K(+) transporting P-type ATPase subunit KdpB,Inorganic ion transport and metabolism,P03960,Op673,"RpoD,YdcN,ppGpp,KdpE",True,False
b0698,kdpA,U00096.3,,727059,728732,-,K(+) transporting P-type ATPase subunit KdpA,Inorganic ion transport and metabolism,P03959,Op674,"RpoD,KdpE,ArcA",True,False
b4513,kdpF,U00096.3,,728732,728821,-,K(+) transporting P-type ATPase subunit KdpF,No COG annotation,P36937,Op675,"RpoD,KdpE",True,False
b0699,ybfA,U00096.3,,729134,729340,+,DUF2517 domain-containing protein YbfA,Function unknown,P0AAU2,Op676,"ppGpp,ArcA",True,True
b0700,rhsC,U00096.3,,729583,733776,+,rhs element protein RhsC,Cell wall/membrane/envelope biogenesis,P16918,Op677,,False,True
b0702,ybfB,U00096.3,,733776,734102,+,uncharacterized protein YbfB,No COG annotation,P0AAU5,Op678,gcvB,True,True
b0704,ybfC,U00096.3,,735650,736219,+,uncharacterized protein YbfC,No COG annotation,P28915,Op679,Nac,True,True
b4514,ybfQ,U00096.3,,736445,736699,+,inactive transposase YbfQ,"Replication, recombination and repair",Q2EEQ8,Op680,,True,False
b0706,ybfD,U00096.3,,738092,738853,+,H repeat-associated putative transposase YbfD,"Replication, recombination and repair",P28916,Op681,,False,True
b0707,ybgA,U00096.3,,739001,739510,+,DUF1722 domain-containing protein YbgA,Function unknown,P24252,Op682,"RpoS,ppGpp,Lrp",True,True
b0708,phr,U00096.3,,739507,740925,+,deoxyribodipyrimidine photolyase,"Replication, recombination and repair",P00914,Op683,"RpoS,LexA,ppGpp",False,False
b0709,dtpD,U00096.3,,741075,742556,-,dipeptide:H(+) symporter DtpD,"Intracellular trafficking, secretion, and vesicular transport",P75742,Op684,ppGpp,True,False
b0710,ybgI,U00096.3,,742827,743570,+,radiation resistance protein YbgI,Function unknown,P0AFP6,Op685,ppGpp,False,False
b0711,pxpB,U00096.3,,743593,744249,+,5-oxoprolinase component B,Amino acid transport and metabolism,P0AAV4,Op686,ppGpp,False,True
b0712,pxpC,U00096.3,,744243,745175,+,5-oxoprolinase component C,Amino acid transport and metabolism,P75745,Op687,ppGpp,False,True
b0713,pxpA,U00096.3,,745165,745899,+,5-oxoprolinase component A,Function unknown,P75746,Op688,ppGpp,False,True
b0714,nei,U00096.3,,745935,746726,+,endonuclease VIII,"Replication, recombination and repair",P50465,Op689,RpoD,False,False
b0715,abrB,U00096.3,,746723,747769,-,putative regulator,Function unknown,P75747,Op690,,False,True
b0716,ybgO,U00096.3,,747921,748982,-,putative fimbrial protein YbgO,Cell motility,P75748,Op691,,False,True
b0717,ybgP,U00096.3,,748979,749707,-,putative fimbrial chaperone YbgP,Cell wall/membrane/envelope biogenesis,P75749,Op692,,False,True
b0718,ybgQ,U00096.3,,749722,752169,-,putative fimbrial usher protein YbgQ,Cell motility,P75750,Op693,,False,True
b0719,ybgD,U00096.3,,752229,752795,-,putative fimbrial protein YbgD,Cell motility,P37909,Op694,YbdO,False,True
b0720,gltA,U00096.3,,753185,754468,-,citrate synthase,Energy production and conversion,P0ABH7,Op695,"RpoD,YdcI,IHF,Crp,ArcA,ppGpp,Nac,spf",False,False
b4768,ybgV,U00096.3,,754658,754690,-,protein YbgV,No COG annotation,P0DSE6,Op696,,True,False
b4735,ybgU,U00096.3,,754674,754781,-,protein YbgU,No COG annotation,P0DPN5,Op697,,True,False
b0721,sdhC,U00096.3,,755177,755566,+,succinate:quinone oxidoreductase%2C membrane protein SdhC,Energy production and conversion,P69054,Op698,"RpoD,YdcI,YdiP,Fur,Fnr,Crp,ArcA,Nac,rybB,ryhB,spf",True,False
b0722,sdhD,U00096.3,,755560,755907,+,succinate:quinone oxidoreductase%2C membrane protein SdhD,Energy production and conversion,P0AC44,Op699,"RpoD,ryhB,Fur,Fnr,Crp,ArcA",True,False
b0723,sdhA,U00096.3,,755907,757673,+,succinate:quinone oxidoreductase%2C FAD binding protein,Energy production and conversion,P0AC41,Op700,"RpoD,Fur,Fnr,Crp,ArcA,ryhB",True,False
b0724,sdhB,U00096.3,,757689,758405,+,succinate:quinone oxidoreductase%2C iron-sulfur cluster binding protein,Energy production and conversion,P07014,Op701,"RpoD,Fur,Fnr,Crp,ArcA,ryhB",True,False
b0726,sucA,U00096.3,,758706,761507,+,subunit of E1(0) component of 2-oxoglutarate dehydrogenase,Nucleotide transport and metabolism,P0AFG3,Op702,"RpoD,RpoS,Fur,Fnr,IHF,Crp,ArcA,Nac,ryhB",True,False
b0727,sucB,U00096.3,,761522,762739,+,dihydrolipoyltranssuccinylase,Energy production and conversion,P0AFG6,Op703,"RpoD,RpoS,Fur,Fnr,IHF,Crp,ArcA,ryhB",True,False
b0728,sucC,U00096.3,,763014,764180,+,succinyl-CoA synthetase subunit beta,Nucleotide transport and metabolism,P0A836,Op704,"RpoD,YfeD,RpoS,Fur,Fnr,IHF,Crp,ArcA,ryhB,spf",True,False
b0729,sucD,U00096.3,,764180,765049,+,succinyl-CoA synthetase subunit alpha,Energy production and conversion,P0AGE9,Op705,"RpoD,RpoS,Fur,Fnr,IHF,Crp,ArcA,ryhB",True,False
b0730,mngR,U00096.3,,765153,765875,-,DNA-binding transcriptional repressor MngR,Transcription,P13669,Op706,"RpoD,MngR",False,False
b0731,mngA,U00096.3,,765984,767960,+,2-O-alpha-mannosyl-D-glycerate specific PTS enzyme II,Carbohydrate transport and metabolism,P54745,Op707,"YcjW,RpoH,MngR",False,False
b0732,mngB,U00096.3,,767978,770611,+,alpha-mannosidase,Carbohydrate transport and metabolism,P54746,Op708,"RpoD,YidZ,RpoH,MngR",False,False
b0733,cydA,U00096.3,,771458,773026,+,cytochrome bd-I subunit 1,Energy production and conversion,P0ABJ9,Op709,"RpoD,ryhB,YidZ,ArcA,Cra,H-NS,HypT,Fnr,Nac",True,False
b0734,cydB,U00096.3,,773042,774181,+,cytochrome bd-I subunit 2,Energy production and conversion,P0ABK2,Op710,"RpoD,ArcA,Cra,H-NS,HypT,Fnr",False,False
b4515,cydX,U00096.3,,774196,774309,+,cytochrome bd-I accessory subunit CydX,Function unknown,P56100,Op711,,False,False
b0735,ybgE,U00096.3,,774309,774602,+,PF09600 family protein YbgE,Function unknown,P0AAV0,Op712,Nac,True,True
b0736,ybgC,U00096.3,,774752,775156,+,esterase/thioesterase,Function unknown,P0A8Z3,Op713,Nac,False,False
b0737,tolQ,U00096.3,,775153,775845,+,Tol-Pal system protein TolQ,"Intracellular trafficking, secretion, and vesicular transport",P0ABU9,Op714,ppGpp,False,False
b0738,tolR,U00096.3,,775849,776277,+,Tol-Pal system protein TolR,"Intracellular trafficking, secretion, and vesicular transport",P0ABV6,Op715,,False,False
b0739,tolA,U00096.3,,776342,777607,+,Tol-Pal system protein TolA,"Intracellular trafficking, secretion, and vesicular transport",P19934,Op716,,False,False
b0740,tolB,U00096.3,,777740,779032,+,Tol-Pal system periplasmic protein TolB,"Intracellular trafficking, secretion, and vesicular transport",P0A855,Op717,Nac,False,False
b0741,pal,U00096.3,,779067,779588,+,peptidoglycan-associated outer membrane lipoprotein Pal,Cell wall/membrane/envelope biogenesis,P0A912,Op718,"Lrp,micA",False,False
b0742,cpoB,U00096.3,,779598,780389,+,cell division coordinator CpoB,"Cell cycle control, cell division, chromosome partitioning",P45955,Op719,"Lrp,micA",False,False
b0750,nadA,U00096.3,,782085,783128,+,quinolinate synthase,Nucleotide transport and metabolism,P11458,Op720,NadR,False,False
b0751,pnuC,U00096.3,,783166,783885,+,nicotinamide riboside transporter,Coenzyme transport and metabolism,P0AFK2,Op721,NadR,False,False
b0752,zitB,U00096.3,,783882,784823,-,Zn(2(+))/Cd(2(+))/Ni(2(+))/Cu(2(+)) exporter,Inorganic ion transport and metabolism,P75757,Op722,Lrp,False,False
b0753,ybgS,U00096.3,,784937,785317,-,PF13985 family protein YbgS,Function unknown,P0AAV6,Op723,"ppGpp,Lrp",True,True
b0754,aroG,U00096.3,,785633,786685,+,3-deoxy-7-phosphoheptulonate synthase%2C Phe-sensitive,Amino acid transport and metabolism,P0AB91,Op724,"RpoD,TyrR,ppGpp,CpxR,Lrp",False,False
b0755,gpmA,U00096.3,,786843,787595,-,2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase,Nucleotide transport and metabolism,P62707,Op725,"RpoD,RpoS,Fur,fnrS",False,False
b0756,galM,U00096.3,,787797,788837,-,galactose-1-epimerase,Carbohydrate transport and metabolism,P0A9C3,Op726,"RpoD,RpoS,Crp,H-NS,GalS,GalR,HU",True,False
b0757,galK,U00096.3,,788831,789979,-,galactokinase,Nucleotide transport and metabolism,P0A6T3,Op727,"RpoD,spf,RpoS,Crp,H-NS,GalS,GalR,HU",True,False
b0758,galT,U00096.3,,789983,791029,-,galactose-1-phosphate uridylyltransferase,Energy production and conversion,P09148,Op728,"RpoD,RpoS,Crp,GalR,H-NS,GalS,HU",True,False
b0759,galE,U00096.3,,791039,792055,-,UDP-glucose 4-epimerase,Cell wall/membrane/envelope biogenesis,P09147,Op729,"RpoD,YidZ,RpoS,Crp,H-NS,GalS,GalR,HU",True,False
b0760,modF,U00096.3,,792316,793788,-,ABC family protein ModF,Inorganic ion transport and metabolism,P31060,Op730,ppGpp,False,True
b0761,modE,U00096.3,,793856,794644,-,DNA-binding transcriptional dual regulator ModE,Transcription,P0A9G8,Op731,,False,False
b0762,acrZ,U00096.3,,794773,794922,+,multidrug efflux pump accessory protein AcrZ,"Intracellular trafficking, secretion, and vesicular transport",P0AAW9,Op732,"RpoD,Rob,SoxS,MarA,Lrp",True,False
b0763,modA,U00096.3,,795089,795862,+,molybdate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P37329,Op733,"RpoD,Crp,FliA,ModE,Lrp",True,False
b0764,modB,U00096.3,,795862,796551,+,molybdate ABC transporter membrane subunit,Inorganic ion transport and metabolism,P0AF01,Op734,"RpoD,Crp,FliA,ModE",False,False
b0765,modC,U00096.3,,796554,797612,+,molybdate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P09833,Op735,"RpoD,Crp,FliA,ModE",False,False
b0766,ybhA,U00096.3,,797613,798431,-,pyridoxal phosphate/fructose-1%2C6-bisphosphate phosphatase,Function unknown,P21829,Op736,YcjW,False,False
b0767,pgl,U00096.3,,798586,799581,+,6-phosphogluconolactonase,Nucleotide transport and metabolism,P52697,Op737,"ppGpp,Lrp",False,False
b0768,ybhD,U00096.3,,799622,800575,-,putative DNA-binding transcriptional regulator YbhD,Transcription,P52696,Op738,"YddM,Nac",False,True
b0769,ybhH,U00096.3,,800759,801811,+,putative isomerase YbhH,Function unknown,P0AAV8,Op739,"YddM,Nac",False,True
b0770,ybhI,U00096.3,,801887,803320,+,putative tricarboxylate transporter,Inorganic ion transport and metabolism,P75763,Op740,"YeiE,YdcI,Nac",False,True
b0771,ybhJ,U00096.3,,803503,805764,+,putative hydratase YbhJ,Energy production and conversion,P75764,Op741,YdcN,False,True
b0772,ybhC,U00096.3,,805998,807281,-,outer membrane lipoprotein YbhC,Cell wall/membrane/envelope biogenesis,P46130,Op742,,False,True
b0773,ybhB,U00096.3,,807433,807909,-,putative kinase inhibitor,Function unknown,P12994,Op743,,False,True
b0774,bioA,U00096.3,,807968,809257,-,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,Coenzyme transport and metabolism,P12995,Op744,"RpoD,BirA,ppGpp",True,False
b0775,bioB,U00096.3,,809344,810384,+,biotin synthase,Coenzyme transport and metabolism,P12996,Op745,"RpoD,BirA",True,False
b0776,bioF,U00096.3,,810381,811535,+,8-amino-7-oxononanoate synthase,Coenzyme transport and metabolism,P12998,Op746,"RpoD,BirA",True,False
b0777,bioC,U00096.3,,811522,812277,+,malonyl-acyl carrier protein methyltransferase,Coenzyme transport and metabolism,P12999,Op747,"RpoD,BirA",True,False
b0778,bioD,U00096.3,,812270,812947,+,dethiobiotin synthetase,Coenzyme transport and metabolism,P13000,Op748,"RpoD,BirA",True,False
b0779,uvrB,U00096.3,,813526,815547,+,UvrABC excision nuclease subunit B,"Replication, recombination and repair",P0A8F8,Op749,"RpoD,LexA,DnaA",True,False
b0780,ybhK,U00096.3,,815739,816647,-,putative transferase YbhK,Function unknown,P75767,Op750,,False,True
b0781,moaA,U00096.3,,817044,818033,+,GTP 3'%2C8'-cyclase,Coenzyme transport and metabolism,P30745,Op751,"Fnr,CueR,ModE,CsrA,Molybdopterin",False,False
b0782,moaB,U00096.3,,818055,818567,+,protein MoaB,Coenzyme transport and metabolism,P0AEZ9,Op752,"Fnr,CueR,ModE,CsrA,Molybdopterin",False,False
b0783,moaC,U00096.3,,818570,819055,+,cyclic pyranopterin monophosphate synthase,Coenzyme transport and metabolism,P0A738,Op753,"Fnr,CueR,ModE,CsrA,Molybdopterin",False,False
b0784,moaD,U00096.3,,819048,819293,+,molybdopterin synthase sulfur carrier subunit,Coenzyme transport and metabolism,P30748,Op754,"Fnr,CueR,ModE,CsrA,Molybdopterin",False,False
b0785,moaE,U00096.3,,819295,819747,+,molybdopterin synthase catalytic subunit,Coenzyme transport and metabolism,P30749,Op755,"Fnr,CueR,ModE,CsrA,Molybdopterin",False,False
b0786,ybhL,U00096.3,,819884,820588,+,Bax1-I family protein YbhL,Function unknown,P0AAC4,Op756,"RpoD,YjjQ",False,True
b0787,ybhM,U00096.3,,820793,821506,+,Bax1-I family protein YbhM,Function unknown,P75769,Op757,"YfeC,Nac",False,True
b0788,ybhN,U00096.3,,821542,822498,-,PF03706 family inner membrane protein YbhN,Function unknown,P75770,Op758,ppGpp,True,True
b0789,clsB,U00096.3,,822498,823739,-,cardiolipin synthase B,Lipid transport and metabolism,P0AA84,Op759,"YidZ,ppGpp",True,False
b0790,ybhP,U00096.3,,823736,824497,-,endonuclease/exonuclease/phosphatase domain-containing protein YbhP,"Replication, recombination and repair",P0AAW1,Op760,ppGpp,True,True
b0791,ybhQ,U00096.3,,824630,825040,+,inner membrane protein YbhQ,Function unknown,P0AAW5,Op761,Lrp,False,True
