locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
b0798,ybiA,U00096.3,,832468,832950,-,N-glycosidase YbiA,"Post-translational modification, protein turnover, and chaperones",P30176,Op768
b0799,dinG,U00096.3,,833070,835220,+,ATP-dependent DNA helicase DinG,"Replication, recombination and repair",P27296,Op769
b0800,ybiB,U00096.3,,835248,836210,+,nonspecific DNA-binding protein YbiB,Amino acid transport and metabolism,P30177,Op770
b0801,hcxB,U00096.3,,836351,837436,+,hydroxycarboxylate dehydrogenase B,Energy production and conversion,P30178,Op771
b4769,ybiE,U00096.3,,837503,837562,+,protein YbiE,No COG annotation,P0DSE7,Op772
b0802,ybiJ,U00096.3,,837665,837925,-,DUF1471 domain-containing protein YbiJ,Function unknown,P0AAX3,Op773
b0803,ybiI,U00096.3,,838190,838456,-,zinc finger domain-containing protein YbiI,Signal transduction mechanisms,P41039,Op774
b0804,ybiX,U00096.3,,838530,839207,-,PKHD-type hydroxylase YbiX,Function unknown,P75779,Op775
b0805,fiu,U00096.3,,839249,841531,-,iron catecholate outer membrane transporter Fiu,Inorganic ion transport and metabolism,P75780,Op776
b0806,mcbA,U00096.3,,841796,842056,-,DUF1471 domain-containing protein McbA,Function unknown,P0AAX6,Op777
b0807,rlmF,U00096.3,,842332,843258,+,23S rRNA m(6)A1618 methyltransferase,"Translation, ribosomal structure and biogenesis",P75782,Op778
b0808,ybiO,U00096.3,,843255,845480,-,moderate conductance mechanosensitive channel YbiO,Cell wall/membrane/envelope biogenesis,P75783,Op779
b0809,glnQ,U00096.3,,845741,846463,-,L-glutamine ABC transporter ATP binding subunit,Amino acid transport and metabolism,P10346,Op780
b0810,glnP,U00096.3,,846460,847119,-,L-glutamine ABC transporter membrane subunit,Inorganic ion transport and metabolism,P0AEQ6,Op781
b0811,glnH,U00096.3,,847258,848004,-,L-glutamine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,P0AEQ3,Op782
b0812,dps,U00096.3,,848408,848911,-,DNA protection during starvation protein,Inorganic ion transport and metabolism,P0ABT2,Op783
b0813,rhtA,U00096.3,,849210,850097,-,L-threonine/L-homoserine exporter,Function unknown,P0AA67,Op784
b4736,yliM,U00096.3,,850332,850397,+,protein YliM,No COG annotation,P0DPN6,Op785
b0814,ompX,U00096.3,,850450,850965,+,outer membrane protein X,Cell wall/membrane/envelope biogenesis,P0A917,Op786
b0815,opgE,U00096.3,,851014,852597,-,phosphoethanolamine transferase OpgE,Function unknown,P75785,Op787
b4705,mntS,U00096.3,,852869,852997,-,small protein MntS,No COG annotation,P0DKB3,Op788
b0817,mntR,U00096.3,,853183,853650,+,DNA-binding transcriptional dual regulator MntR,Transcription,P0A9F1,Op789
b0818,ybiR,U00096.3,,853647,854765,+,putative transporter YbiR,Inorganic ion transport and metabolism,P75788,Op790
b0819,ldtB,U00096.3,,854824,855744,-,L%2CD-transpeptidase LdtB,Cell wall/membrane/envelope biogenesis,P0AAX8,Op791
b0820,ybiT,U00096.3,,855963,857555,+,putative ATP-binding protein YbiT,Function unknown,P0A9U3,Op792
b0821,ybiU,U00096.3,,857796,859061,-,DUF1479 domain-containing protein YbiU,Function unknown,P75791,Op793
b0822,ybiV,U00096.3,,859213,860028,-,sugar phosphatase YbiV,Function unknown,P75792,Op794
b0823,ybiW,U00096.3,,860174,862606,-,putative pyruvate formate lyase,Energy production and conversion,P75793,Op795
b0824,ybiY,U00096.3,,862612,863511,-,putative pyruvate formate-lyase activating enzyme YbiY,"Post-translational modification, protein turnover, and chaperones",P75794,Op796
b0825,fsaA,U00096.3,,863642,864304,+,fructose-6-phosphate aldolase 1,Carbohydrate transport and metabolism,P78055,Op797
b0826,moeB,U00096.3,,864380,865129,-,molybdopterin-synthase adenylyltransferase,Coenzyme transport and metabolism,P12282,Op798
b0827,moeA,U00096.3,,865129,866364,-,molybdopterin molybdotransferase,Coenzyme transport and metabolism,P12281,Op799
b0828,iaaA,U00096.3,,866568,867533,+,isoaspartyl dipeptidase proenzyme,Amino acid transport and metabolism,P37595,Op800
b0829,gsiA,U00096.3,,867520,869391,+,glutathione ABC transporter ATP binding subunit GsiA,Inorganic ion transport and metabolism,P75796,Op801
b0830,gsiB,U00096.3,,869411,870949,+,glutathione ABC transporter periplasmic binding protein,Amino acid transport and metabolism,P75797,Op802
b0831,gsiC,U00096.3,,870967,871887,+,glutathione ABC transporter membrane subunit GsiC,Amino acid transport and metabolism,P75798,Op803
b0832,gsiD,U00096.3,,871890,872801,+,glutathione ABC transporter membrane subunit GsiD,Amino acid transport and metabolism,P75799,Op804
b0833,pdeI,U00096.3,,872979,875327,+,putative c-di-GMP phosphodiesterase PdeI,Signal transduction mechanisms,P75800,Op805
b0834,dgcI,U00096.3,,875335,876663,+,putative diguanylate cyclase DgcI,Signal transduction mechanisms,P75801,Op806
b0835,rimO,U00096.3,,876710,878035,-,ribosomal protein S12 methylthiotransferase RimO,"Translation, ribosomal structure and biogenesis",P0AEI4,Op807
b0836,bssR,U00096.3,,878248,878631,+,regulator of biofilm formation,Function unknown,P0AAY1,Op808
b0837,yliI,U00096.3,,878742,879857,+,aldose sugar dehydrogenase YliI,Carbohydrate transport and metabolism,P75804,Op809
b0838,gstB,U00096.3,,879854,880480,-,glutathione S-transferase GstB,"Post-translational modification, protein turnover, and chaperones",P0ACA7,Op810
b0839,dacC,U00096.3,,880727,881929,+,D-alanyl-D-alanine carboxypeptidase DacC,Cell wall/membrane/envelope biogenesis,P08506,Op811
b0840,deoR,U00096.3,,881976,882734,-,DNA-binding transcriptional repressor DeoR,Transcription,P0ACK5,Op812
b0841,ybjG,U00096.3,,882792,883388,-,undecaprenyl pyrophosphate phosphatase,Lipid transport and metabolism,P75806,Op813
b0842,mdfA,U00096.3,,883673,884905,+,multidrug efflux pump MdfA/Na(+):H(+) antiporter/K(+):H(+) antiporter,Amino acid transport and metabolism,P0AEY8,Op814
b0843,ybjH,U00096.3,,884946,885230,-,uncharacterized protein YbjH,No COG annotation,P0AAY4,Op815
b0844,ybjI,U00096.3,,885316,886131,-,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,Function unknown,P75809,Op816
b0845,ybjJ,U00096.3,,886131,887339,-,inner membrane protein YbjJ,Carbohydrate transport and metabolism,P75810,Op817
b0846,rcdA,U00096.3,,887423,887959,+,RcdA,Transcription,P75811,Op818
b0847,ybjL,U00096.3,,888134,889819,-,putative transport protein YbjL,Inorganic ion transport and metabolism,P60869,Op819
b0848,ybjM,U00096.3,,890089,890466,+,putative inner membrane protein,Function unknown,P64439,Op820
b0849,grxA,U00096.3,,890496,890753,-,reduced glutaredoxin 1,"Post-translational modification, protein turnover, and chaperones",P68688,Op821
b0850,ybjC,U00096.3,,890913,891200,+,DUF1418 domain-containing protein YbjC,Function unknown,P46119,Op822
b0851,nfsA,U00096.3,,891184,891906,+,NADPH-dependent nitro/quinone reductase NfsA,Energy production and conversion,P17117,Op823
b0852,rimK,U00096.3,,891967,892869,+,ribosomal protein S6 modification protein,Nucleotide transport and metabolism,P0C0U4,Op824
b0853,ybjN,U00096.3,,892957,893433,+,protein YbjN,Function unknown,P0AAY6,Op825
b0854,potF,U00096.3,,893784,894896,+,putrescine ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P31133,Op826
b0855,potG,U00096.3,,894991,896124,+,putrescine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P31134,Op827
b0856,potH,U00096.3,,896134,897087,+,putrescine ABC transporter membrane subunit PotH,Inorganic ion transport and metabolism,P31135,Op828
b0857,potI,U00096.3,,897084,897929,+,putrescine ABC transporter membrane subunit PotI,Inorganic ion transport and metabolism,P0AFL1,Op829
b0858,ybjO,U00096.3,,897989,898477,+,putative inner membrane protein,Function unknown,P0AAZ0,Op830
b0859,rlmC,U00096.3,,898518,899645,+,23S rRNA m(5)U747 methyltransferase,"Translation, ribosomal structure and biogenesis",P75817,Op831
b0860,artJ,U00096.3,,899844,900575,-,L-arginine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,P30860,Op832
b0861,artM,U00096.3,,900866,901534,-,L-arginine ABC transporter membrane subunit ArtM,Inorganic ion transport and metabolism,P0AE30,Op833
b0862,artQ,U00096.3,,901534,902250,-,L-arginine ABC transporter membrane subunit ArtQ,Inorganic ion transport and metabolism,P0AE34,Op834
b0863,artI,U00096.3,,902257,902988,-,putative ABC transporter periplasmic binding protein ArtI,Amino acid transport and metabolism,P30859,Op835
b0864,artP,U00096.3,,903006,903734,-,L-arginine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P0AAF6,Op836
b0865,ybjP,U00096.3,,903952,904467,-,DUF3828 domain-containing lipoprotein YbjP,Cell wall/membrane/envelope biogenesis,P75818,Op837
b0866,ybjQ,U00096.3,,904593,904916,+,putative heavy metal binding protein YbjQ,Function unknown,P0A8C1,Op838
b0867,amiD,U00096.3,,904913,905743,+,N-acetylmuramoyl-L-alanine amidase D,Defense mechanisms,P75820,Op839
b0868,ybjS,U00096.3,,905740,906753,-,putative epimerase YbjS,Cell wall/membrane/envelope biogenesis,P75821,Op840
b0869,ybjT,U00096.3,,906852,908282,-,putative NAD(P)-binding protein YbjT,Carbohydrate transport and metabolism,P75822,Op841
b0870,ltaE,U00096.3,,908293,909294,-,low-specificity L-threonine aldolase,Amino acid transport and metabolism,P75823,Op842
b0871,poxB,U00096.3,,909331,911049,-,pyruvate oxidase,Energy production and conversion,P07003,Op843
b0872,hcr,U00096.3,,911182,912150,-,NADH oxidoreductase,Energy production and conversion,P75824,Op844
b0873,hcp,U00096.3,,912162,913814,-,protein S-nitrosylase,Energy production and conversion,P75825,Op845
b0874,lysO,U00096.3,,913958,914857,-,L-lysine/thialysine exporter,Function unknown,P75826,Op846
b0875,aqpZ,U00096.3,,915352,916047,-,water channel AqpZ,Carbohydrate transport and metabolism,P60844,Op847
b0876,ybjD,U00096.3,,916473,918131,+,DUF2813 domain-containing protein YbjD,"Replication, recombination and repair",P75828,Op848
b0877,ybjX,U00096.3,,918128,919120,-,DUF535 domain-containing protein YbjX,Function unknown,P75829,Op849
b0878,macA,U00096.3,,919235,920350,+,ABC-type tripartite efflux pump membrane fusion protein,Cell wall/membrane/envelope biogenesis,P75830,Op850
b0879,macB,U00096.3,,920347,922293,+,ABC-type tripartite efflux pump ATP binding/membrane subunit,Defense mechanisms,P75831,Op851
b0880,cspD,U00096.3,,922366,922590,-,DNA replication inhibitor CspD,Transcription,P0A968,Op852
b4770,yljB,U00096.3,,922740,922814,+,protein YljB,No COG annotation,P0DSE8,Op853
b0881,clpS,U00096.3,,922913,923233,+,specificity factor for ClpA-ClpP chaperone-protease complex,Function unknown,P0A8Q6,Op854
b0882,clpA,U00096.3,,923264,925540,+,ATP-dependent Clp protease ATP-binding subunit ClpA,"Post-translational modification, protein turnover, and chaperones",P0ABH9,Op855
b0884,infA,U00096.3,,926225,926443,-,translation initiation factor IF-1,"Translation, ribosomal structure and biogenesis",P69222,Op856
b0885,aat,U00096.3,,926728,927432,-,leucyl/phenylalanyl-tRNA--protein transferase,"Post-translational modification, protein turnover, and chaperones",P0A8P1,Op857
b0886,cydC,U00096.3,,927474,929195,-,glutathione/L-cysteine ABC exporter subunit CydC,Inorganic ion transport and metabolism,P23886,Op858
b0887,cydD,U00096.3,,929196,930962,-,glutathione/L-cysteine ABC exporter subunit CydD,Inorganic ion transport and metabolism,P29018,Op859
b0888,trxB,U00096.3,,931085,932050,-,thioredoxin reductase,"Post-translational modification, protein turnover, and chaperones",P0A9P4,Op860
b0889,lrp,U00096.3,,932595,933089,+,DNA-binding transcriptional dual regulator Lrp,Transcription,P0ACJ0,Op861
b0890,ftsK,U00096.3,,933224,937213,+,cell division DNA translocase FtsK,"Cell cycle control, cell division, chromosome partitioning",P46889,Op862
b0891,lolA,U00096.3,,937372,937983,+,outer membrane lipoprotein carrier protein,Cell wall/membrane/envelope biogenesis,P61316,Op863
b0892,rarA,U00096.3,,937994,939337,+,replication-associated recombination protein A,"Replication, recombination and repair",P0AAZ4,Op864
b0893,serS,U00096.3,,939428,940720,+,serine--tRNA ligase,"Translation, ribosomal structure and biogenesis",P0A8L1,Op865
b0894,dmsA,U00096.3,,940959,943403,+,dimethyl sulfoxide reductase subunit A,Energy production and conversion,P18775,Op866
b0895,dmsB,U00096.3,,943414,944031,+,dimethyl sulfoxide reductase subunit B,Energy production and conversion,P18776,Op867
b0896,dmsC,U00096.3,,944033,944896,+,dimethyl sulfoxide reductase subunit C,Function unknown,P18777,Op868
b0897,ycaC,U00096.3,,944931,945557,-,putative hydrolase YcaC,"Secondary metabolites biosynthesis, transport, and catabolism",P21367,Op869
b0898,ycaD,U00096.3,,945871,947019,+,putative transporter YcaD,Amino acid transport and metabolism,P21503,Op870
b0899,ycaM,U00096.3,,947229,948659,+,putative transporter YcaM,Inorganic ion transport and metabolism,P75835,Op871
b0900,ycaN,U00096.3,,948660,949568,-,putative DNA-binding transcriptional regulator YcaN,Transcription,P75836,Op872
b0901,ycaK,U00096.3,,949668,950258,+,putative oxidoreductase YcaK,Function unknown,P43340,Op873
b0902,pflA,U00096.3,,950340,951080,-,pyruvate formate-lyase activating enzyme,"Post-translational modification, protein turnover, and chaperones",P0A9N4,Op874
b0903,pflB,U00096.3,,951272,953554,-,pyruvate formate-lyase,Energy production and conversion,P09373,Op875
b0904,focA,U00096.3,,953609,954466,-,formate channel FocA,Inorganic ion transport and metabolism,P0AC23,Op876
b0905,ycaO,U00096.3,,954872,956632,-,ribosomal protein S12 methylthiotransferase accessory factor YcaO,Function unknown,P75838,Op877
b0906,ycaP,U00096.3,,956762,957454,+,DUF421 domain-containing protein YcaP,Function unknown,P75839,Op878
b0907,serC,U00096.3,,957653,958741,+,phosphoserine/phosphohydroxythreonine aminotransferase,Coenzyme transport and metabolism,P23721,Op879
b0908,aroA,U00096.3,,958812,960095,+,3-phosphoshikimate 1-carboxyvinyltransferase,Amino acid transport and metabolism,P0A6D3,Op880
b0909,ycaL,U00096.3,,960264,961028,+,periplasmic protease YcaL,"Post-translational modification, protein turnover, and chaperones",P43674,Op881
b0910,cmk,U00096.3,,961201,961884,+,cytidylate kinase,Nucleotide transport and metabolism,P0A6I0,Op882
b0911,rpsA,U00096.3,,961995,963668,+,30S ribosomal subunit protein S1,"Translation, ribosomal structure and biogenesis",P0AG67,Op883
b0912,ihfB,U00096.3,,963828,964112,+,integration host factor subunit beta,Transcription,P0A6Y1,Op884
b0913,ycaI,U00096.3,,964320,966584,+,metallo-beta-lactamase superfamily inner membrane protein YcaI,Function unknown,P37443,Op885
b0914,msbA,U00096.3,,966621,968369,+,ATP-binding lipopolysaccharide transport protein,Defense mechanisms,P60752,Op886
b0915,lpxK,U00096.3,,968366,969352,+,tetraacyldisaccharide 4'-kinase,Lipid transport and metabolism,P27300,Op887
b0916,ycaQ,U00096.3,,969389,970621,+,interstrand DNA crosslink repair glycosylase,Function unknown,P75843,Op888
b0917,ycaR,U00096.3,,970673,970855,+,PF03966 family protein YcaR,Function unknown,P0AAZ7,Op889
b0918,kdsB,U00096.3,,970852,971598,+,3-deoxy-manno-octulosonate cytidylyltransferase,Cell wall/membrane/envelope biogenesis,P04951,Op890
b0919,ycbJ,U00096.3,,971752,972645,+,putative phosphotransferase YcbJ,Function unknown,P0AB03,Op891
b0920,elyC,U00096.3,,972622,973401,-,envelope biogenesis factor,Function unknown,P0AB01,Op892
b0921,cmoM,U00096.3,,973537,974322,+,tRNA cmo(5)U34 methyltransferase,"Translation, ribosomal structure and biogenesis",P36566,Op893
b0922,mukF,U00096.3,,974319,975641,+,chromosome partitioning protein MukF,"Cell cycle control, cell division, chromosome partitioning",P60293,Op894
b0923,mukE,U00096.3,,975622,976326,+,chromosome partitioning protein MukE,"Cell cycle control, cell division, chromosome partitioning",P22524,Op895
b0924,mukB,U00096.3,,976326,980786,+,chromosome partitioning protein MukB,"Cell cycle control, cell division, chromosome partitioning",P22523,Op896
b0925,ldtD,U00096.3,,981047,982894,+,L%2CD-transpeptidase LdtD,Cell wall/membrane/envelope biogenesis,P22525,Op897
b0926,mepK,U00096.3,,983075,983623,+,peptidoglycan L%2CD-endopeptidase,Function unknown,P0AB06,Op898
b0927,gloC,U00096.3,,983650,984297,+,hydroxyacylglutathione hydrolase GloC,Function unknown,P75849,Op899
b0928,aspC,U00096.3,,984519,985709,-,aspartate aminotransferase,Amino acid transport and metabolism,P00509,Op900
b0929,ompF,U00096.3,,985894,986982,-,outer membrane porin F,Cell wall/membrane/envelope biogenesis,P02931,Op901
b0930,asnS,U00096.3,,987585,988985,-,asparagine--tRNA ligase,"Translation, ribosomal structure and biogenesis",P0A8M0,Op902
b0931,pncB,U00096.3,,989154,990356,-,nicotinate phosphoribosyltransferase,Nucleotide transport and metabolism,P18133,Op903
b0932,pepN,U00096.3,,990622,993234,+,aminopeptidase N,Amino acid transport and metabolism,P04825,Op904
b0933,ssuB,U00096.3,,993277,994044,-,aliphatic sulfonate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P0AAI1,Op905
b0934,ssuC,U00096.3,,994041,994832,-,aliphatic sulfonate ABC transporter membrane subunit,Inorganic ion transport and metabolism,P75851,Op906
b0935,ssuD,U00096.3,,994843,995988,-,FMNH2-dependent alkanesulfonate monooxygenase,Energy production and conversion,P80645,Op907
b0936,ssuA,U00096.3,,995985,996944,-,aliphatic sulfonate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P75853,Op908
b0937,ssuE,U00096.3,,996937,997512,-,NADPH-dependent FMN reductase,Function unknown,P80644,Op909
b0938,elfA,U00096.3,,997868,998407,+,putative laminin-binding fimbrial subunit,Cell motility,P75855,Op910
b0939,elfD,U00096.3,,998490,999191,+,putative fimbrial chaperone ElfD,Cell motility,P75856,Op911
b0940,elfC,U00096.3,,999216,1001816,+,putative fimbrial usher protein ElfC,Cell motility,P75857,Op912
b0941,elfG,U00096.3,,1001807,1002877,+,putative fimbrial-like adhesin protein,Cell motility,P75858,Op913
b0942,ycbU,U00096.3,,1002889,1003431,+,putative fimbrial protein YcbU,Cell motility,P75859,Op914
b0943,ycbV,U00096.3,,1003439,1003954,+,putative fimbrial protein YcbV,Cell motility,P75860,Op915
b0944,ycbF,U00096.3,,1003947,1004657,+,putative fimbrial chaperone YcbF,Cell motility,P40876,Op916
b0945,pyrD,U00096.3,,1004768,1005778,+,dihydroorotate dehydrogenase%2C type 2,Nucleotide transport and metabolism,P0A7E1,Op917
b0946,zapC,U00096.3,,1005952,1006494,+,cell division protein ZapC,"Cell cycle control, cell division, chromosome partitioning",P75862,Op918
b0947,ycbX,U00096.3,,1006491,1007600,-,6-N-hydroxylaminopurine resistance protein,Energy production and conversion,P75863,Op919
b0948,rlmL,U00096.3,,1007844,1009952,+,fused 23S rRNA m(2)G2445 methyltransferase and 23S rRNA m(7)G2069 methyltransferase,"Translation, ribosomal structure and biogenesis",P75864,Op920
b0949,uup,U00096.3,,1009964,1011871,+,ATP-binding protein Uup,Function unknown,P43672,Op921
b0950,pqiA,U00096.3,,1012001,1013254,+,intermembrane transport protein PqiA,Function unknown,P0AFL9,Op922
b0951,pqiB,U00096.3,,1013259,1014899,+,intermembrane transport protein PqiB,"Secondary metabolites biosynthesis, transport, and catabolism",P43671,Op923
b0952,pqiC,U00096.3,,1014896,1015459,+,intermembrane transport lipoprotein PqiC,Function unknown,P0AB10,Op924
b0953,rmf,U00096.3,,1015715,1015882,+,ribosome modulation factor,"Translation, ribosomal structure and biogenesis",P0AFW2,Op925
b0954,fabA,U00096.3,,1015952,1016470,-,beta-hydroxyacyl-acyl carrier protein dehydratase/isomerase,Lipid transport and metabolism,P0A6Q3,Op926
b0955,ycbZ,U00096.3,,1016539,1018299,-,putative ATP-dependent protease YcbZ,"Post-translational modification, protein turnover, and chaperones",P75867,Op927
b0956,matP,U00096.3,,1018485,1018937,+,macrodomain Ter protein,"Cell cycle control, cell division, chromosome partitioning",P0A8N0,Op928
b0957,ompA,U00096.3,,1019013,1020053,-,outer membrane protein A,Cell wall/membrane/envelope biogenesis,P0A910,Op929
b0958,sulA,U00096.3,,1020410,1020919,-,cell division inhibitor SulA,"Cell cycle control, cell division, chromosome partitioning",P0AFZ5,Op930
b0959,sxy,U00096.3,,1021138,1021767,+,transcriptional coactivator for CRP,Transcription,P75869,Op931
b0960,yccS,U00096.3,,1021730,1023883,-,putative transporter YccS,Function unknown,P75870,Op932
b0961,yccF,U00096.3,,1023902,1024348,-,PF03733 family inner membrane protein YccF,Function unknown,P0AB12,Op933
b0962,helD,U00096.3,,1024471,1026525,+,DNA helicase IV,"Replication, recombination and repair",P15038,Op934
b0963,mgsA,U00096.3,,1026557,1027015,-,methylglyoxal synthase,Carbohydrate transport and metabolism,P0A731,Op935
b0964,yccT,U00096.3,,1027111,1027773,-,DUF2057 domain-containing protein YccT,Function unknown,P0A8X4,Op936
b0965,yccU,U00096.3,,1027946,1028359,+,putative HspQ acetyl donor,Function unknown,P75874,Op937
b0966,hspQ,U00096.3,,1028404,1028721,-,heat shock protein HspQ,Function unknown,P0AB20,Op938
b0967,rlmI,U00096.3,,1028779,1029969,-,23S rRNA m(5)C1962 methyltransferase,"Translation, ribosomal structure and biogenesis",P75876,Op939
b0968,yccX,U00096.3,,1030064,1030342,+,acylphosphatase,Energy production and conversion,P0AB65,Op940
b0969,tusE,U00096.3,,1030339,1030668,-,sulfur transfer protein TusE,"Translation, ribosomal structure and biogenesis",P0AB18,Op941
b0970,yccA,U00096.3,,1030759,1031418,-,modulator of FtsH protease,Function unknown,P0AAC6,Op942
b0972,hyaA,U00096.3,,1032139,1033257,+,hydrogenase 1 small subunit,Energy production and conversion,P69739,Op943
b0973,hyaB,U00096.3,,1033254,1035047,+,hydrogenase 1 large subunit,Energy production and conversion,P0ACD8,Op944
b0974,hyaC,U00096.3,,1035066,1035773,+,hydrogenase 1 cytochrome b subunit,Energy production and conversion,P0AAM1,Op945
b0975,hyaD,U00096.3,,1035770,1036357,+,putative hydrogenase 1 maturation protease HyaD,"Post-translational modification, protein turnover, and chaperones",P19930,Op946
b0976,hyaE,U00096.3,,1036354,1036752,+,putative HyaA chaperone,Function unknown,P19931,Op947
b0977,hyaF,U00096.3,,1036749,1037606,+,protein HyaF,Energy production and conversion,P19932,Op948
b0978,appC,U00096.3,,1037740,1039284,+,cytochrome bd-II subunit 1,Energy production and conversion,P26459,Op949
b0979,appB,U00096.3,,1039296,1040432,+,cytochrome bd-II subunit 2,Energy production and conversion,P26458,Op950
b4592,appX,U00096.3,,1040445,1040537,+,cytochrome bd-II accessory subunit AppX,No COG annotation,P24244,Op951
b0980,appA,U00096.3,,1040617,1041915,+,periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase,Function unknown,P07102,Op952
b0981,etk,U00096.3,,1042030,1044210,-,protein-tyrosine kinase Etk,"Cell cycle control, cell division, chromosome partitioning",P38134,Op953
b0982,etp,U00096.3,,1044230,1044676,-,phosphotyrosine-protein phosphatase Etp,Signal transduction mechanisms,P0ACZ2,Op954
b0983,gfcE,U00096.3,,1044664,1045803,-,putative exopolysaccharide export lipoprotein GfcE,Cell wall/membrane/envelope biogenesis,P0A932,Op955
b0984,gfcD,U00096.3,,1045849,1047945,-,putative lipoprotein GfcD,Cell wall/membrane/envelope biogenesis,P75882,Op956
b0985,gfcC,U00096.3,,1047945,1048691,-,capsule biosynthesis GfcC family protein,Function unknown,P75883,Op957
b0986,gfcB,U00096.3,,1048688,1049332,-,lipoprotein GfcB,Cell wall/membrane/envelope biogenesis,P75884,Op958
b0987,gfcA,U00096.3,,1049439,1049744,-,threonine-rich inner membrane protein GfcA,No COG annotation,P75885,Op959
b4516,insA4,U00096.3,,1049833,1050108,+,IS1 family protein InsA,"Replication, recombination and repair",P0CF10,Op960
b0988,insB4,U00096.3,,1050027,1050530,+,IS1 family protein InsB,"Replication, recombination and repair",P57998,Op961
b0989,cspH,U00096.3,,1050963,1051175,-,CspA family protein CspH,Transcription,P0A982,Op962
b0990,cspG,U00096.3,,1051461,1051673,+,cold shock protein CspG,Transcription,P0A978,Op963
b4723,ymcF,U00096.3,,1051684,1051872,+,protein YmcF,No COG annotation,P0DPC8,Op964
b0991,ymcE,U00096.3,,1051847,1052077,+,protein YmcE,Function unknown,P0AAA5,Op965
b4517,gnsA,U00096.3,,1052067,1052240,+,putative phosphatidylethanolamine synthesis regulator GnsA,Function unknown,P0AC92,Op966
b0992,yccM,U00096.3,,1052289,1053362,-,putative electron transport protein YccM,Energy production and conversion,P52636,Op967
b0993,torS,U00096.3,,1053434,1056178,-,sensor histidine kinase TorS,Signal transduction mechanisms,P39453,Op968
b0994,torT,U00096.3,,1056261,1057289,+,periplasmic trimethylamine-N-oxide binding protein,Carbohydrate transport and metabolism,P38683,Op969
b0995,torR,U00096.3,,1057262,1057954,-,DNA-binding transcriptional dual regulator TorR,Transcription,P38684,Op970
b0996,torC,U00096.3,,1058084,1059256,+,cytochrome c menaquinol dehydrogenase TorC,Energy production and conversion,P33226,Op971
b0997,torA,U00096.3,,1059256,1061802,+,trimethylamine N-oxide reductase 1,Energy production and conversion,P33225,Op972
b0998,torD,U00096.3,,1061799,1062398,+,trimethylamine-N-oxide reductase-specific chaperone,"Post-translational modification, protein turnover, and chaperones",P36662,Op973
b0999,cbpM,U00096.3,,1062550,1062855,-,chaperone modulator CbpM,Transcription,P63264,Op974
b1000,cbpA,U00096.3,,1062855,1063775,-,curved DNA-binding protein,"Post-translational modification, protein turnover, and chaperones",P36659,Op975
b1001,yccE,U00096.3,,1064036,1065292,+,uncharacterized protein YccE,No COG annotation,P36661,Op976
b1002,agp,U00096.3,,1065585,1066826,+,glucose-1-phosphatase,Function unknown,P19926,Op977
b1003,yccJ,U00096.3,,1066864,1067091,-,PF13993 family protein YccJ,Function unknown,P0AB14,Op978
b1004,wrbA,U00096.3,,1067112,1067708,-,NAD(P)H:quinone oxidoreductase,Function unknown,P0A8G6,Op979
b4518,ymdF,U00096.3,,1068081,1068254,+,stress-induced bacterial acidophilic repeat motifs-containing protein YmdF,Function unknown,P56614,Op980
b1006,rutG,U00096.3,,1068511,1069839,-,pyrimidine:H(+) symporter,Nucleotide transport and metabolism,P75892,Op981
b1007,rutF,U00096.3,,1069860,1070354,-,FMN reductase RutF,Energy production and conversion,P75893,Op982
b1008,rutE,U00096.3,,1070365,1070955,-,putative malonic semialdehyde reductase,Energy production and conversion,P75894,Op983
b1009,rutD,U00096.3,,1070965,1071765,-,putative aminoacrylate hydrolase RutD,Nucleotide transport and metabolism,P75895,Op984
b1010,rutC,U00096.3,,1071773,1072159,-,3-aminoacrylate deaminase,"Translation, ribosomal structure and biogenesis",P0AFQ5,Op985
b1011,rutB,U00096.3,,1072171,1072863,-,ureidoacrylate amidohydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",P75897,Op986
b1012,rutA,U00096.3,,1072863,1074011,-,pyrimidine monooxygenase RutA,Nucleotide transport and metabolism,P75898,Op987
b1013,rutR,U00096.3,,1074242,1074880,+,DNA-binding transcriptional dual regulator RutR,Transcription,P0ACU2,Op988
b1014,putA,U00096.3,,1074920,1078882,-,fused DNA-binding transcriptional repressor/proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase PutA,Transcription,P09546,Op989
b4737,ymdG,U00096.3,,1079120,1079146,+,protein YmdG,No COG annotation,P0DPN7,Op990
b1015,putP,U00096.3,,1079305,1080813,+,proline:Na(+) symporter,Inorganic ion transport and metabolism,P07117,Op991
b1018,efeO,U00096.3,,1082243,1083370,+,ferrous iron transport system protein EfeO,Inorganic ion transport and metabolism,P0AB24,Op992
