From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
AAC73442.1	P0ABE9	reviewed	CYNT_ECOLI	Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase 1)	cynT b0339 JW0330	Escherichia coli (strain K12)	219
AAC73443.1	P00816	reviewed	CYNS_ECOLI	Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase)	cynS cnt b0340 JW0331	Escherichia coli (strain K12)	156
AAC73444.1	P17583	reviewed	CYNX_ECOLI	Cyanate transport protein CynX	cynX b0341 JW0332	Escherichia coli (strain K12)	384
AAC73445.1	P07464	reviewed	THGA_ECOLI	Galactoside O-acetyltransferase (GAT) (EC 2.3.1.18) (Acetyl-CoA:galactoside 6-O-acetyltransferase) (Thiogalactoside acetyltransferase) (Thiogalactoside transacetylase)	lacA b0342 JW0333	Escherichia coli (strain K12)	203
AAC73446.1	P02920	reviewed	LACY_ECOLI	Lactose permease (Lactose-proton symport)	lacY b0343 JW0334	Escherichia coli (strain K12)	417
AAC73447.1	P00722	reviewed	BGAL_ECOLI	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	lacZ b0344 JW0335	Escherichia coli (strain K12)	1024
AAC73448.1	P03023	reviewed	LACI_ECOLI	Lactose operon repressor	lacI b0345 JW0336	Escherichia coli (strain K12)	360
AAC73449.2	P77569	reviewed	MHPR_ECOLI	DNA-binding transcriptional activator MhpR (mhp operon transcriptional activator)	mhpR b0346 JW0337	Escherichia coli (strain K12)	277
AAC73450.1	P77397	reviewed	MHPA_ECOLI	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase (3-HCI hydroxylase) (3-HPP hydroxylase) (EC 1.14.13.127)	mhpA b0347 JW0338	Escherichia coli (strain K12)	554
AAC73451.1	P0ABR9	reviewed	MHPB_ECOLI	2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase (EC 1.13.11.16) (3-carboxyethylcatechol 2,3-dioxygenase)	mhpB b0348 JW0339	Escherichia coli (strain K12)	314
AAC73452.3	P77044	reviewed	MHPC_ECOLI	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase (EC 3.7.1.14) (2-hydroxy-6-ketonona-2,4-diene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4-diene-1,9-dioic acid 5,6-hydrolase)	mhpC b0349 JW0340	Escherichia coli (strain K12)	288
AAC73453.2	P77608	reviewed	MHPD_ECOLI	2-keto-4-pentenoate hydratase (EC 4.2.1.80) (2-hydroxypentadienoic acid hydratase)	mhpD b0350 JW0341	Escherichia coli (strain K12)	269
AAC73454.1	P77580	reviewed	ACDH_ECOLI	Acetaldehyde dehydrogenase (EC 1.2.1.10) (Acetaldehyde dehydrogenase [acetylating])	mhpF mhpE b0351 JW0342	Escherichia coli (strain K12)	316
AAC73455.1	P51020	reviewed	HOA_ECOLI	4-hydroxy-2-oxovalerate aldolase (HOA) (EC 4.1.3.39) (4-hydroxy-2-keto-pentanoic acid aldolase) (4-hydroxy-2-oxopentanoate aldolase)	mhpE b0352 JW0343	Escherichia coli (strain K12)	337
AAC73456.2	P77589	reviewed	MHPT_ECOLI	3-(3-hydroxy-phenyl)propionate transporter (3HPP transporter) (3-(3-hydroxy-phenyl)propionate:H(+) symporter) (3HPP:H(+) symporter)	mhpT orfT yaiK b0353 JW5046	Escherichia coli (strain K12)	403
AAC73457.2	P51024	reviewed	YAIL_ECOLI	Uncharacterized protein YaiL	yaiL b0354 JW0345	Escherichia coli (strain K12)	179
AAC73458.1	P51025	reviewed	SFGH1_ECOLI	S-formylglutathione hydrolase FrmB (FGH) (EC 3.1.2.12)	frmB yaiM b0355 JW0346	Escherichia coli (strain K12)	277
AAC73459.1	P25437	reviewed	FRMA_ECOLI	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284) (Alcohol dehydrogenase class-3) (EC 1.1.1.1) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-)	frmA adhC b0356 JW0347	Escherichia coli (strain K12)	369
AAC73460.2	P0AAP3	reviewed	FRMR_ECOLI	Transcriptional repressor FrmR	frmR yaiN b0357 JW0348	Escherichia coli (strain K12)	91
AAC73461.1	Q47534	reviewed	YAIO_ECOLI	Outer membrane protein YaiO	yaiO b0358 JW0349	Escherichia coli (strain K12)	257
AAC73463.2	P0CF40	reviewed	INSC1_ECOLI	Transposase InsC for insertion element IS2A	insC1 b0360 JW0351	Escherichia coli (strain K12)	121
AAC73464.1	P0CF53	reviewed	INSD1_ECOLI	Transposase InsD for insertion element IS2A	insD1 b0361 JW0352	Escherichia coli (strain K12)	301
AAC73466.1	Q47536	reviewed	YAIP_ECOLI	Uncharacterized glycosyltransferase YaiP (EC 2.4.-.-)	yaiP b0363 JW0355	Escherichia coli (strain K12)	398
AYC08177.1	P0DPN1	reviewed	YKIC_ECOLI	Protein YkiC	ykiC b4731	Escherichia coli (strain K12)	39
AAC73467.2	P71311	reviewed	YAIS_ECOLI	Uncharacterized deacetylase YaiS (EC 3.-.-.-)	yaiS b0364 JW0356	Escherichia coli (strain K12)	185
AAC73468.2	Q47537	reviewed	TAUA_ECOLI	Taurine-binding periplasmic protein (Sulfate starvation-induced protein 1) (SSI1)	tauA ssiA yaiR b0365 JW0357	Escherichia coli (strain K12)	320
AAC73469.1	Q47538	reviewed	TAUB_ECOLI	Taurine import ATP-binding protein TauB (EC 7.6.2.7)	tauB ssiB yaiQ b0366 JW0358	Escherichia coli (strain K12)	255
AAC73470.1	Q47539	reviewed	TAUC_ECOLI	Taurine transport system permease protein TauC	tauC ssiC yaiJ b0367 JW0359	Escherichia coli (strain K12)	275
AAC73471.1	P37610	reviewed	TAUD_ECOLI	Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17) (2-aminoethanesulfonate dioxygenase) (Sulfate starvation-induced protein 3) (SSI3)	tauD ssiD yaiG b0368 JW0360	Escherichia coli (strain K12)	283
AAC73472.2	P0ACB2	reviewed	HEM2_ECOLI	Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	hemB ncf b0369 JW0361	Escherichia coli (strain K12)	324
QNV50520.1	P0DSE5	reviewed	YTIB_ECOLI	Protein YtiB	ytiB b4767	Escherichia coli (strain K12)	18
AAC73475.1	P0CF80	reviewed	INSF2_ECOLI	Transposase InsF for insertion sequence IS3B	insF2 b0372 JW0363	Escherichia coli (strain K12)	288
AAC73476.2	P0CF67	reviewed	INSE2_ECOLI	Transposase InsE for insertion sequence IS3B	insE2 b0373 JW5050	Escherichia coli (strain K12)	99
AAC73478.2	P0AAP5	reviewed	IPRA_ECOLI	Inhibitor of hydrogen peroxide resistance	iprA yaiV b0375 JW0366	Escherichia coli (strain K12)	207
AAC73479.1	P0AD70	reviewed	AMPH_ECOLI	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH (EC 3.4.-.-) (DD-alanine-endopeptidase) (DD-carboxypeptidase) (Penicillin-binding protein AmpH)	ampH yaiH b0376 JW5052	Escherichia coli (strain K12)	385
AAC73480.1	P0AFY6	reviewed	SBMA_ECOLI	Peptide antibiotic transporter SbmA	sbmA b0377 JW0368	Escherichia coli (strain K12)	406
AAC73481.1	P77562	reviewed	YAIW_ECOLI	Uncharacterized protein YaiW	yaiW b0378 JW0369	Escherichia coli (strain K12)	364
AAC73482.1	P0AAP7	reviewed	YAIY_ECOLI	Inner membrane protein YaiY	yaiY b0379 JW0370	Escherichia coli (strain K12)	102
AAC73483.2	P0AAQ0	reviewed	YAIZ_ECOLI	Uncharacterized protein YaiZ	yaiZ b0380 JW5053	Escherichia coli (strain K12)	70
AAC73484.1	P0A6J8	reviewed	DDLA_ECOLI	D-alanine--D-alanine ligase A (EC 6.3.2.4) (D-Ala-D-Ala ligase A) (D-alanylalanine synthetase A)	ddlA b0381 JW0372	Escherichia coli (strain K12)	364
AAC73485.1	P0AAN9	reviewed	IRAP_ECOLI	Anti-adapter protein IraP	iraP yaiB b0382 JW0373	Escherichia coli (strain K12)	86
AAC73486.2	P00634	reviewed	PPB_ECOLI	Alkaline phosphatase (APase) (EC 3.1.3.1)	phoA b0383 JW0374	Escherichia coli (strain K12)	471
AAC73487.2	P0AFM4	reviewed	PSIF_ECOLI	Phosphate starvation-inducible protein PsiF	psiF b0384 JW5054	Escherichia coli (strain K12)	106
AAC73488.1	P0AAP1	reviewed	DGCC_ECOLI	Probable diguanylate cyclase DgcC (DGC) (EC 2.7.7.65)	dgcC adrA yaiC b0385 JW0376	Escherichia coli (strain K12)	371
AAC73489.1	P0A9L8	reviewed	P5CR_ECOLI	Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase)	proC b0386 JW0377	Escherichia coli (strain K12)	269
AAC73490.2	P0A8D3	reviewed	YAII_ECOLI	UPF0178 protein YaiI	yaiI b0387 JW0378	Escherichia coli (strain K12)	152
AAC73491.1	P0A6E1	reviewed	AROL_ECOLI	Shikimate kinase 2 (SK 2) (EC 2.7.1.71) (Shikimate kinase II) (SKII)	aroL b0388 JW0379	Escherichia coli (strain K12)	174
AAC73492.1	P0AAN5	reviewed	YAIA_ECOLI	Uncharacterized protein YaiA	yaiA b0389 JW0380	Escherichia coli (strain K12)	63
AAC73493.1	P0AE28	reviewed	AROM_ECOLI	Protein AroM	aroM b0390 JW0381	Escherichia coli (strain K12)	225
AAC73494.1	P0C037	reviewed	PPNP_ECOLI	Pyrimidine/purine nucleoside phosphorylase (EC 2.4.2.1) (EC 2.4.2.2) (Adenosine phosphorylase) (Cytidine phosphorylase) (Guanosine phosphorylase) (Inosine phosphorylase) (Thymidine phosphorylase) (Uridine phosphorylase) (Xanthosine phosphorylase)	ppnP yaiE b0391 JW0382	Escherichia coli (strain K12)	94
AYC08178.1	P0DPN2	reviewed	YKID_ECOLI	Protein YkiD	ykiD b4732	Escherichia coli (strain K12)	27
AAC73496.1	P36767	reviewed	RDGC_ECOLI	Recombination-associated protein RdgC	rdgC yaiD b0393 JW0384	Escherichia coli (strain K12)	303
AAC73497.2	P23917	reviewed	MAK_ECOLI	Fructokinase (EC 2.7.1.4) (D-fructose kinase) (Manno(fructo)kinase)	mak yajF b0394 JW0385	Escherichia coli (strain K12)	302
AAC73499.1	P23910	reviewed	ARAJ_ECOLI	Putative transporter AraJ	araJ b0396 JW0386	Escherichia coli (strain K12)	394
AAC73500.1	P13458	reviewed	SBCC_ECOLI	Nuclease SbcCD subunit C	sbcC rmuA b0397 JW0387	Escherichia coli (strain K12)	1048
AAC73501.1	P0AG76	reviewed	SBCD_ECOLI	Nuclease SbcCD subunit D	sbcD yajA b0398 JW0388	Escherichia coli (strain K12)	400
AAC73502.1	P0AFJ5	reviewed	PHOB_ECOLI	Phosphate regulon transcriptional regulatory protein PhoB	phoB b0399 JW0389	Escherichia coli (strain K12)	229
AAC73503.1	P08400	reviewed	PHOR_ECOLI	Phosphate regulon sensor protein PhoR (EC 2.7.13.3)	phoR nmpB b0400 JW0390	Escherichia coli (strain K12)	431
AAC73504.1	P0AD99	reviewed	BRNQ_ECOLI	Branched-chain amino acid permease BrnQ (BCAA permease) (Branched-chain amino acid transport system 2 carrier protein) (LIV-II)	brnQ b0401 JW0391	Escherichia coli (strain K12)	439
AAC73505.1	P0AAE2	reviewed	PROY_ECOLI	Proline-specific permease ProY	proY yajM b0402 JW5055	Escherichia coli (strain K12)	457
AAC73506.2	P21517	reviewed	MALZ_ECOLI	Maltodextrin glucosidase (EC 3.2.1.20) (Alpha-glucosidase)	malZ b0403 JW0393	Escherichia coli (strain K12)	604
AAC73507.1	P21515	reviewed	ACPH_ECOLI	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	acpH yajB b0404 JW0394	Escherichia coli (strain K12)	193
AAC73508.1	P0A7F9	reviewed	QUEA_ECOLI	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)	queA b0405 JW0395	Escherichia coli (strain K12)	356
AAC73509.1	P0A847	reviewed	TGT_ECOLI	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt b0406 JW0396	Escherichia coli (strain K12)	375
AAC73510.1	P0ADZ7	reviewed	YAJC_ECOLI	Sec translocon accessory complex subunit YajC	yajC b0407 JW0397	Escherichia coli (strain K12)	110
AAC73511.1	P0AG90	reviewed	SECD_ECOLI	Protein translocase subunit SecD (Sec translocon accessory complex subunit SecD)	secD b0408 JW0398	Escherichia coli (strain K12)	615
AAC73512.1	P0AG93	reviewed	SECF_ECOLI	Protein translocase subunit SecF (Sec translocon accessory complex subunit SecF)	secF b0409 JW0399	Escherichia coli (strain K12)	323
AAC73513.1	P0AAQ2	reviewed	YAJD_ECOLI	Putative HNH nuclease YajD (EC 3.1.-.-)	yajD b0410 JW0400	Escherichia coli (strain K12)	115
AAC73514.1	P0A927	reviewed	TSX_ECOLI	Nucleoside-specific channel-forming protein Tsx	tsx nupA b0411 JW0401	Escherichia coli (strain K12)	294
AAC73515.2	P46122	reviewed	YAJI_ECOLI	Uncharacterized lipoprotein YajI	yajI b0412 JW5056	Escherichia coli (strain K12)	179
AAC73516.1	P0A8D0	reviewed	NRDR_ECOLI	Transcriptional repressor NrdR	nrdR ybaD b0413 JW0403	Escherichia coli (strain K12)	149
AAC73517.1	P25539	reviewed	RIBD_ECOLI	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	ribD ribG ybaE b0414 JW0404	Escherichia coli (strain K12)	367
AAC73518.1	P61714	reviewed	RISB_ECOLI	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribE ribH ybaF b0415 JW0405	Escherichia coli (strain K12)	156
AAC73519.1	P0A780	reviewed	NUSB_ECOLI	Transcription antitermination protein NusB (Antitermination factor NusB) (N utilization substance protein B)	nusB groNB ssyB b0416 JW0406	Escherichia coli (strain K12)	139
AAC73520.1	P0AGG0	reviewed	THIL_ECOLI	Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)	thiL b0417 JW0407	Escherichia coli (strain K12)	325
AAC73521.1	P18200	reviewed	PGPA_ECOLI	Phosphatidylglycerophosphatase A (EC 3.1.3.27) (Phosphatidylglycerolphosphate phosphatase A) (PGP phosphatase A)	pgpA yajN b0418 JW0408	Escherichia coli (strain K12)	172
AAC73522.2	P77735	reviewed	YAJO_ECOLI	1-deoxyxylulose-5-phosphate synthase YajO (EC 1.1.-.-)	yajO b0419 JW0409	Escherichia coli (strain K12)	324
AAC73523.1	P77488	reviewed	DXS_ECOLI	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)	dxs yajP b0420 JW0410	Escherichia coli (strain K12)	620
AAC73524.1	P22939	reviewed	ISPA_ECOLI	Farnesyl diphosphate synthase (FPP synthase) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Geranyltranstransferase)	ispA b0421 JW0411	Escherichia coli (strain K12)	299
AAC73525.1	P0A8G9	reviewed	EX7S_ECOLI	Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (ExoVII small subunit) (Exonuclease VII small subunit)	xseB yajE b0422 JW0412	Escherichia coli (strain K12)	80
AAC73526.1	P77718	reviewed	THII_ECOLI	tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	thiI yajK b0423 JW0413	Escherichia coli (strain K12)	482
AAC73527.2	Q46948	reviewed	YAJL_ECOLI	Protein/nucleic acid deglycase 3 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Chaperone protein YajL) (Maillard deglycase)	yajL thiJ b0424 JW5057	Escherichia coli (strain K12)	196
AAC73528.1	P0A9J4	reviewed	PANE_ECOLI	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase) (KPA reductase) (KPR)	panE apbA b0425 JW0415	Escherichia coli (strain K12)	303
AAC73529.2	P0A8E7	reviewed	YAJQ_ECOLI	UPF0234 protein YajQ	yajQ b0426 JW5058	Escherichia coli (strain K12)	163
AAC73530.2	P77726	reviewed	YAJR_ECOLI	Inner membrane transport protein YajR	yajR b0427 JW5059	Escherichia coli (strain K12)	454
AAC73531.1	P0AEA5	reviewed	CYOE_ECOLI	Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme B farnesyltransferase) (Heme O synthase)	cyoE b0428 JW0418	Escherichia coli (strain K12)	296
AAC73532.1	P0ABJ6	reviewed	CYOD_ECOLI	Cytochrome bo(3) ubiquinol oxidase subunit 4 (Cytochrome o ubiquinol oxidase subunit 4) (Cytochrome o subunit 4) (Oxidase bo(3) subunit 4) (Ubiquinol oxidase chain D) (Ubiquinol oxidase polypeptide IV) (Ubiquinol oxidase subunit 4)	cyoD b0429 JW0419	Escherichia coli (strain K12)	109
AAC73533.1	P0ABJ3	reviewed	CYOC_ECOLI	Cytochrome bo(3) ubiquinol oxidase subunit 3 (Cytochrome o ubiquinol oxidase subunit 3) (Cytochrome o subunit 3) (Oxidase bo(3) subunit 3) (Ubiquinol oxidase chain C) (Ubiquinol oxidase polypeptide III) (Ubiquinol oxidase subunit 3)	cyoC b0430 JW0420	Escherichia coli (strain K12)	204
AAC73534.1	P0ABI8	reviewed	CYOB_ECOLI	Cytochrome bo(3) ubiquinol oxidase subunit 1 (cyt bo(3) subunit 1) (EC 7.1.1.3) (Cytochrome b562-o complex subunit I) (Cytochrome o ubiquinol oxidase subunit 1) (Cytochrome o subunit 1) (Oxidase bo(3) subunit 1) (Ubiquinol oxidase chain A) (Ubiquinol oxidase polypeptide I) (Ubiquinol oxidase subunit 1)	cyoB b0431 JW0421	Escherichia coli (strain K12)	663
AAC73535.1	P0ABJ1	reviewed	CYOA_ECOLI	Cytochrome bo(3) ubiquinol oxidase subunit 2 (Cytochrome b562-o complex subunit II) (Cytochrome o ubiquinol oxidase subunit 2) (Cytochrome o subunit 2) (Oxidase bo(3) subunit 2) (Ubiquinol oxidase chain B) (Ubiquinol oxidase polypeptide II) (Ubiquinol oxidase subunit 2)	cyoA b0432 JW0422	Escherichia coli (strain K12)	315
AAC73536.1	P0AE16	reviewed	AMPG_ECOLI	Anhydromuropeptide permease (AmpG permease) (Muropeptide:H(+) symporter)	ampG b0433 JW0423	Escherichia coli (strain K12)	491
AAC73537.2	P0ADA5	reviewed	YAJG_ECOLI	Uncharacterized lipoprotein YajG	yajG b0434 JW0424	Escherichia coli (strain K12)	192
AAC73538.2	P0ABE2	reviewed	BOLA_ECOLI	DNA-binding transcriptional regulator BolA	bolA b0435 JW5060	Escherichia coli (strain K12)	105
AAC73539.1	P0A850	reviewed	TIG_ECOLI	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig b0436 JW0426	Escherichia coli (strain K12)	432
AAC73540.1	P0A6G7	reviewed	CLPP_ECOLI	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Caseinolytic protease) (Endopeptidase Clp) (Heat shock protein F21.5) (Protease Ti)	clpP lopP b0437 JW0427	Escherichia coli (strain K12)	207
AAC73541.1	P0A6H1	reviewed	CLPX_ECOLI	ATP-dependent Clp protease ATP-binding subunit ClpX (ATP-dependent unfoldase ClpX)	clpX lopC b0438 JW0428	Escherichia coli (strain K12)	424
AAC73542.1	P0A9M0	reviewed	LON_ECOLI	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	lon capR deg lopA muc b0439 JW0429	Escherichia coli (strain K12)	784
AAC73543.1	P0ACF4	reviewed	DBHB_ECOLI	DNA-binding protein HU-beta (HU-1) (NS1)	hupB hopD b0440 JW0430	Escherichia coli (strain K12)	90
AAC73544.1	P0ADY1	reviewed	PPID_ECOLI	Periplasmic chaperone PpiD (Periplasmic folding chaperone)	ppiD ybaU b0441 JW0431	Escherichia coli (strain K12)	623
AAC73545.1	P0AAR8	reviewed	YBAV_ECOLI	Uncharacterized protein YbaV	ybaV b0442 JW0432	Escherichia coli (strain K12)	123
AAC73546.1	P77712	reviewed	FADM_ECOLI	Long-chain acyl-CoA thioesterase FadM (EC 3.1.2.-) (Acyl-CoA thioester hydrolase) (Thioesterase 3) (Thioesterase III)	fadM tesC ybaW b0443 JW0433	Escherichia coli (strain K12)	132
AAC73547.1	P77756	reviewed	QUEC_ECOLI	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC ybaX b0444 JW0434	Escherichia coli (strain K12)	231
AAC73548.1	P46890	reviewed	YBAE_ECOLI	Uncharacterized protein YbaE	ybaE b0445 JW0435	Escherichia coli (strain K12)	566
AAC73549.2	P46891	reviewed	COF_ECOLI	HMP-PP phosphatase (EC 3.6.1.-)	cof b0446 JW0436	Escherichia coli (strain K12)	272
AAC73550.2	P0ACJ5	reviewed	DECR_ECOLI	DNA-binding transcriptional activator DecR	decR ybaO b0447 JW0437	Escherichia coli (strain K12)	152
AAC73551.1	P77265	reviewed	MDLA_ECOLI	Multidrug resistance-like ATP-binding protein MdlA (EC 7.6.2.2)	mdlA mdl b0448 JW0438	Escherichia coli (strain K12)	590
AAC73552.1	P0AAG5	reviewed	MDLB_ECOLI	Multidrug resistance-like ATP-binding protein MdlB (EC 7.6.2.2)	mdlB mdl b0449 JW5061	Escherichia coli (strain K12)	593
AAC73553.1	P0AC55	reviewed	GLNK_ECOLI	Nitrogen regulatory protein GlnK (Nitrogen regulatory protein P-II 2) (PII-like protein)	glnK ybaI b0450 JW0440	Escherichia coli (strain K12)	112
AAC73554.1	P69681	reviewed	AMTB_ECOLI	Ammonium transporter AmtB (Ammonia channel AmtB) (Ammonium channel AmtB)	amtB ybaG b0451 JW0441	Escherichia coli (strain K12)	428
AAC73555.1	P0AGG2	reviewed	TESB_ECOLI	Acyl-CoA thioesterase 2 (EC 3.1.2.20) (Thioesterase II) (TEII)	tesB b0452 JW0442	Escherichia coli (strain K12)	286
AAC73556.1	P77717	reviewed	YBAY_ECOLI	Uncharacterized lipoprotein YbaY	ybaY b0453 JW0443	Escherichia coli (strain K12)	190
AAC73557.1	P0AFP2	reviewed	ATL_ECOLI	DNA base-flipping protein (Alkyltransferase-like protein ATL)	atl ybaZ b0454 JW0444	Escherichia coli (strain K12)	129
AAC73558.1	P0AAQ6	reviewed	YBAA_ECOLI	Uncharacterized protein YbaA	ybaA b0456 JW0445	Escherichia coli (strain K12)	117
AAC73559.2	P77473	reviewed	PDEB_ECOLI	Probable cyclic di-GMP phosphodiesterase PdeB (EC 3.1.4.52)	pdeB ylaB b0457 JW5062	Escherichia coli (strain K12)	516
AAC73560.2	P0AAS0	reviewed	YLAC_ECOLI	Inner membrane protein YlaC	ylaC b0458 JW5063	Escherichia coli (strain K12)	156
AAC73561.1	P77791	reviewed	MAA_ECOLI	Maltose O-acetyltransferase (MAT) (EC 2.3.1.79) (Maltose transacetylase)	maa ylaD b0459 JW0448	Escherichia coli (strain K12)	183
AAC73562.1	P0ACE3	reviewed	HHA_ECOLI	Hemolysin expression-modulating protein Hha	hha b0460 JW0449	Escherichia coli (strain K12)	72
AAC73563.1	P0AAR0	reviewed	TOMB_ECOLI	Hha toxicity modulator TomB (Toxin overexpression modulator in biofilms)	tomB ybaJ b0461 JW0450	Escherichia coli (strain K12)	124
AAC73564.1	P31224	reviewed	ACRB_ECOLI	Multidrug efflux pump subunit AcrB (AcrAB-TolC multidrug efflux pump subunit AcrB) (Acridine resistance protein B)	acrB acrE b0462 JW0451	Escherichia coli (strain K12)	1049
AAC73565.1	P0AE06	reviewed	ACRA_ECOLI	Multidrug efflux pump subunit AcrA (AcrAB-TolC multidrug efflux pump subunit AcrA) (Acridine resistance protein A)	acrA lir mtcA b0463 JW0452	Escherichia coli (strain K12)	397
AAC73566.1	P0ACS9	reviewed	ACRR_ECOLI	HTH-type transcriptional regulator AcrR (Potential acrAB operon repressor)	acrR ybaH b0464 JW0453	Escherichia coli (strain K12)	215
AAC73567.1	P77338	reviewed	MSCK_ECOLI	Mechanosensitive channel MscK (Potassium efflux system KefA)	mscK aefA kefA b0465 JW0454	Escherichia coli (strain K12)	1120
AAC73568.1	P45807	reviewed	YBAM_ECOLI	Uncharacterized protein YbaM	ybaM b0466 JW0455	Escherichia coli (strain K12)	53
AAC73569.1	P23862	reviewed	PRIC_ECOLI	Primosomal replication protein N''	priC b0467 JW0456	Escherichia coli (strain K12)	175
AAC73570.1	P0AAR5	reviewed	YBAN_ECOLI	Inner membrane protein YbaN	ybaN b0468 JW0457	Escherichia coli (strain K12)	125
AAC73571.1	P69503	reviewed	APT_ECOLI	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt b0469 JW0458	Escherichia coli (strain K12)	183
AAC73572.1	P06710	reviewed	DPO3X_ECOLI	DNA polymerase III subunit tau (EC 2.7.7.7) (DNA polymerase III subunit gamma)	dnaX dnaZ dnaZX b0470 JW0459	Escherichia coli (strain K12)	643
AAC73573.1	P0A8B5	reviewed	YBAB_ECOLI	Nucleoid-associated protein YbaB	ybaB b0471 JW0460	Escherichia coli (strain K12)	109
AAC73574.1	P0A7H6	reviewed	RECR_ECOLI	Recombination protein RecR	recR b0472 JW0461	Escherichia coli (strain K12)	201
AAC73575.1	P0A6Z3	reviewed	HTPG_ECOLI	Chaperone protein HtpG (Heat shock protein C62.5) (Heat shock protein HtpG) (High temperature protein G)	htpG b0473 JW0462	Escherichia coli (strain K12)	624
AAC73576.1	P69441	reviewed	KAD_ECOLI	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk dnaW plsA b0474 JW0463	Escherichia coli (strain K12)	214
AAC73577.1	P23871	reviewed	HEMH_ECOLI	Ferrochelatase (EC 4.98.1.1) (Heme synthase) (Protoheme ferro-lyase)	hemH popA visA b0475 JW0464	Escherichia coli (strain K12)	320
AAC73578.1	P23872	reviewed	AES_ECOLI	Acetyl esterase (EC 3.1.1.-) (EcE)	aes ybaC b0476 JW0465	Escherichia coli (strain K12)	319
AAC73579.1	P0AEW6	reviewed	INGK_ECOLI	Guanosine-inosine kinase (EC 2.7.1.73)	gsk b0477 JW0466	Escherichia coli (strain K12)	434
AAC73580.1	P39830	reviewed	YBAL_ECOLI	Putative cation/proton antiporter YbaL	ybaL ylaA b0478 JW0467	Escherichia coli (strain K12)	558
AAC73581.1	P52067	reviewed	FSR_ECOLI	Fosmidomycin resistance protein	fsr b0479 JW0468	Escherichia coli (strain K12)	406
AAC73582.1	P07024	reviewed	USHA_ECOLI	Protein UshA [Includes: UDP-sugar hydrolase (EC 3.6.1.45) (UDP-sugar diphosphatase) (UDP-sugar pyrophosphatase); 5'-nucleotidase (5'-NT) (EC 3.1.3.5)]	ushA b0480 JW0469	Escherichia coli (strain K12)	550
