Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Characterization	Genes in same transcription unit	Accession-1
hybA	b2996	3144154	3145140	hydrogenase 2 [Fe-S] protein	WELL-CHARACTERIZED	hybO // hybG // hybF // hybE // hybD // hybC // hybB // hybA	b2996
yajL	b0424	443051	443641	protein/nucleic acid deglycase 3	WELL-CHARACTERIZED	panE // yajL	b0424
asflhD	b4839	1978176	1978395	small antisense RNA AsflhD	PARTIAL	asflhD	b4839
hisL	b2018	2089996	2090046	<i>his</i> operon leader peptide	PARTIAL	hisL // hisG // hisD // hisC // hisB // hisH // hisA // hisF // hisI	b2018
glpT	b2240	2351016	2352374	sn-glycerol 3-phosphate:phosphate antiporter	WELL-CHARACTERIZED	glpT // glpQ	b2240
gutM	b2706	2828621	2828980	DNA-binding transcriptional activator GutM	PARTIAL	srlA // srlE // srlB // srlD // gutM // gutQ // srlR	b2706
yrhC	b4552	3623887	3624132			yrhC	b4552
panE	b0425	443604	444515	2-dehydropantoate 2-reductase	WELL-CHARACTERIZED	panE // yajL	b0425
yiaV	b3586	3752963	3754099	putative membrane fusion protein YiaV	PARTIAL	yiaW // yiaV	b3586
yidE	b3685	3864612	3866273	putative transport protein YidE	PARTIAL	yidE	b3685
truA	b2318	2434824	2435636	tRNA pseudouridine<sup>38-40</sup> synthase	WELL-CHARACTERIZED	dedA // truA // usg // pdxB	b2318
ynfP	b4534	1652728	1652838	protein YnfP	UNCHARACTERIZED	ynfP	b4534
aroL	b0388	406405	406929	shikimate kinase 2	WELL-CHARACTERIZED	aroL // yaiA // aroM	b0388
insAB1		19811	20508	InsAB' transposase	WELL-CHARACTERIZED	insA1 // insB1 // insAB1	
yicJ	b3657	3834547	3835929	putative xyloside transporter YicJ	PARTIAL	yicI // yicJ	b3657
sdsR	b4433	1923104	1923207	small regulatory RNA SdsR	WELL-CHARACTERIZED	pphA // sdsR	b4433
fliD	b1924	2003872	2005278	flagellar filament capping protein	PARTIAL	fliD // fliS // fliT	b1924
mbiA	b0012	10830	11315	uncharacterized protein MbiA	UNCHARACTERIZED	mbiA	b0012
yphB	b2544	2673816	2674688	putative aldose 1-epimerase YphB	PARTIAL	yphC // yphB	b2544
cspA	b3556	3720049	3720261	cold shock protein CspA	WELL-CHARACTERIZED	cspA	b3556
hyfA	b2481	2601201	2601818	hydrogenase 4 component A	PARTIAL	focB // hyfR // hyfJ // hyfI // hyfH // hyfG // hyfF // hyfE // hyfD // hyfC // hyfB // hyfA	b2481
ymfT	b1146	1203024	1203224	e14 prophage; putative DNA-binding transcriptional regulator YmfT	PARTIAL	tfaP // ycfK // ymfQ // jayE // beeE // ymfR // ymfN // ymfM // ymfL // ymfT	b1146
fdoG	b3894	4082772	4085822	formate dehydrogenase O subunit &alpha;	WELL-CHARACTERIZED	fdhE // fdoI // fdoH // fdoG	b3894
asnV	b1989	2062260	2062335	tRNA-Asn(GUU)	WELL-CHARACTERIZED	asnV	b1989
elfD	b0939	998490	999191	putative fimbrial chaperone ElfD	PARTIAL	ycbF // ycbV // ycbU // elfG // elfC // elfD	b0939
dmsA	b0894	940959	943403	dimethyl sulfoxide reductase subunit A	WELL-CHARACTERIZED	dmsB // dmsA // dmsC	b0894
yoeH	b4641	2068261	2068419				b4641
mntP	b1821	1905688	1906254	Mn2+ exporter	WELL-CHARACTERIZED	mntP	b1821
yihA	b3865	4050133	4050765	GTP-binding protein YihA	WELL-CHARACTERIZED	yihA	b3865
yfiS	b4783	2725925	2725987	protein YfiS	UNCHARACTERIZED	yfiS	b4783
ssnA	b2879	3019161	3020489	putative aminohydrolase SsnA	PARTIAL	ssnA // ygfK	b2879
yeaX	b1803	1885845	1886810	carnitine monooxygenase subunit YeaX	WELL-CHARACTERIZED	yeaX	b1803
insE5	b2088	2170236	2170535	IS3 element protein InsE	UNCHARACTERIZED	insF5 // insE5 // insEF5	b2088
ynaE	b1375	1433991	1434224	Rac prophage; uncharacterized protein YnaE	UNCHARACTERIZED	ynaE	b1375
yfbR	b2291	2408862	2409461	dCMP phosphohydrolase	WELL-CHARACTERIZED	alaA // yfbR	b2291
cueR	b0487	513993	514400	DNA-binding transcriptional dual regulator CueR	WELL-CHARACTERIZED	cueR	b0487
yfdO	b2358	2472878	2473246	CPS-53 (KpLE1) prophage; protein YdfO	PARTIAL	yfdO // yfdN // yfdM // yfdL // yfdK	b2358
citC	b0618	650798	651856	citrate lyase synthetase	WELL-CHARACTERIZED	citC // citD // citE // citF // citX // citG	b0618
mnmA	b1133	1192667	1193773	tRNA-specific 2-thiouridylase	WELL-CHARACTERIZED	mnmA	b1133
uraA	b2497	2618871	2620160	uracil:H<sup>+</sup> symporter UraA	WELL-CHARACTERIZED	uraA // upp	b2497
recB	b2820	2952461	2956003	exodeoxyribonuclease V subunit RecB	WELL-CHARACTERIZED	recB // recD // ptrA	b2820
ybjH	b0843	884946	885230	uncharacterized protein YbjH	UNCHARACTERIZED		b0843
hinT	b1103	1161885	1162244	purine nucleoside phosphoramidase	WELL-CHARACTERIZED	ycfP // nagZ // thiK // lpoB // ycfL // hinT	b1103
ybiR	b0818	853647	854765	putative transporter YbiR	PARTIAL	ybiR // mntR	b0818
ypeB	b4546	2527941	2528159	PF12843 family protein YpeB	UNCHARACTERIZED	ligA // ypeB	b4546
uhpC	b3667	3847305	3848624	UhpC-glucose-6-P // inner membrane protein sensing glucose-6-phosphate	PARTIAL	ilvN // ilvB // ivbL // uhpC // uhpB // uhpA	b3667
agaW	b3134	3280701	3281102	<I>N</I>-acetyl-D-galactosamine specific PTS truncated enzyme IIC component		agaA // agaW // agaV // kbaZ	b3134
yiaG	b3555	3719478	3719768	putative DNA-binding transcriptional regulator YiaG	PARTIAL	yiaG	b3555
eutE	b2455	2570348	2571751	acetaldehyde dehydrogenase (acetylating) EutE	WELL-CHARACTERIZED	eutN // eutE // eutJ // eutG	b2455
paaK	b1398	1462125	1463438	phenylacetate-CoA ligase	WELL-CHARACTERIZED	paaK // paaI // paaH // paaG // paaF // paaE // paaD // paaC // paaB // paaA // paaJ	b1398
rclC	b0301	317726	318319	DUF417 domain-containing inner membrane protein RclC	PARTIAL	rclA // rclB // rclC	b0301
rpsM	b3298	3442115	3442471	30S ribosomal subunit protein S13	WELL-CHARACTERIZED	rplQ // rpoA // rpsD // rpsK // rpsM	b3298
atoA	b2222	2324109	2324759	acetyl-CoA:acetoacetyl-CoA transferase subunit &beta;	WELL-CHARACTERIZED	atoB // atoD // atoA // atoE	b2222
cca	b3056	3201891	3203129	fused CCA tRNA nucleotidyltransferase/phosphohydrolase	WELL-CHARACTERIZED	cca // ygiM	b3056
efeU	b4490	1081356	1082185	inactive ferrous iron permease EfeU		efeU	b4490
ppdC	b2823	2962441	2962764	prepilin-type N-terminal cleavage/methylation domain-containing protein PpdC	UNCHARACTERIZED	ppdA // ppdB // ygdB // ppdC // recC	b2823
bsmA	b4189	4416441	4416770	DUF1471 domain-containing putative lipoprotein BsmA	PARTIAL	bsmA	b4189
ylbE	b4572	548357	549616	DUF1116 domain-containing protein YlbE	UNCHARACTERIZED	ybcF // ylbF // ylbE // fdrA	b4572
ubiE	b3833	4018855	4019610	bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinol methylase and demethylmenaquinone methyltransferase	WELL-CHARACTERIZED	ubiB // ubiJ // ubiE	b3833
yagL	b0278	293220	293918	CP4-6 prophage; resolvase-like catalytic domain-containing protein YagL	UNCHARACTERIZED	yagM // yagL	b0278
garK	b3124	3270625	3271770	glycerate 2-kinase 1	WELL-CHARACTERIZED	garK // garL // garP // garR // rnpB	b3124
rsxD	b1630	1709142	1710200	SoxR [2Fe-2S] reducing system protein RsxD	WELL-CHARACTERIZED	nth // rsxE // rsxG // rsxD // rsxC // rsxB // rsxA // ydgK	b1630
potB	b1125	1183617	1184444	spermidine preferential ABC transporter membrane subunit PotB	WELL-CHARACTERIZED	potD // potC // potB // potA	b1125
yfjF	b2618	2754008	2754298	putative component of the Rsx system	PARTIAL	ratA // yfjF	b2618
fldB	b2895	3039855	3040376	oxidized flavodoxin 2 // flavodoxin 2	WELL-CHARACTERIZED	fldB	b2895
holB	b1099	1155762	1156766	DNA polymerase III subunit &delta;'	WELL-CHARACTERIZED	ycfH // holB // tmk // mltG // pabC	b1099
yhfX	b3381	3509813	3510976	putative PLP-binding protein YhfX	PARTIAL	yhfX // yhfW // php // yhfU // yhfT // yhfS	b3381
moaC	b0783	818570	819055	cyclic pyranopterin monophosphate synthase	WELL-CHARACTERIZED	moaE // moaD // moaC // moaB // moaA	b0783
ilvI	b0077	85630	87354	acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit	WELL-CHARACTERIZED	ilvH // ilvI	b0077
pgpA	b0418	436589	437107	phosphatidylglycerophosphatase A	WELL-CHARACTERIZED	pgpA // thiL // nusB // ribE // ribD // nrdR	b0418
phoH	b1020	1084992	1086056	ATP-binding protein PhoH	PARTIAL	phoH	b1020
oxc	b2373	2490256	2491950	oxalyl-CoA decarboxylase	WELL-CHARACTERIZED	yfdX // oxc // yfdV // frc // yfdE	b2373
tcyL	b1918	1997811	1998479	cystine ABC transporter membrane subunit	WELL-CHARACTERIZED	dcyD // tcyL // tcyN	b1918
lacZ	b0344	363231	366305	&beta;-galactosidase	WELL-CHARACTERIZED	lacZ // lacA // lacY	b0344
eutS	b2462	2575470	2575805	putative ethanolamine catabolic microcompartment shell protein EutS	PARTIAL	eutS // eutP // eutQ // eutT // eutD // eutM	b2462
entF	b0586	614157	618038	seryl-[EntF peptidyl-carrier protein] // <i>holo</i> [EntF peptidyl-carrier protein] // apo-serine activating enzyme	WELL-CHARACTERIZED	ybdZ // fes // entF // fepE	b0586
holC	b4259	4483837	4484280	DNA polymerase III subunit &chi;	WELL-CHARACTERIZED	holC // valS	b4259
pmrD	b2259	2373272	2373538	signal transduction protein PmrD	UNCHARACTERIZED	pmrD	b2259
hisH	b2023	2094535	2095125	imidazole glycerol phosphate synthase subunit HisH	WELL-CHARACTERIZED	hisL // hisG // hisD // hisC // hisI // hisF // hisA // hisH // hisB	b2023
ydhT	b1669	1748747	1749559	uncharacterized protein YdhT	UNCHARACTERIZED	ydhY // ydhV // ydhW // ydhX // ydhU // ydhT	b1669
ydjI	b1773	1856933	1857769	L-<i>glycero</i>-L-galacto-octuluronate-1-phosphate aldolase	WELL-CHARACTERIZED	ydjL // ydjK // ydjJ // ydjI // ydjH // ydjG	b1773
ymiD	b4772	1344647	1344775	protein YmiD	UNCHARACTERIZED	ymiD	b4772
naRNA3		4326105	4326181	naRNA3	UNCHARACTERIZED		
leuZ	b1909	1991815	1991901	tRNA-Leu(UAA)	WELL-CHARACTERIZED	3'ETS-<i>leuZ</i> // leuZ // cysT // glyW	b1909
yfiC	b2575	2712027	2712764	tRNA m<sup>6</sup>A37 methyltransferase	WELL-CHARACTERIZED	yfiC	b2575
rspA	b1581	1653927	1655141	mandelate racemase/muconate lactonizing enzyme family protein RspA	UNCHARACTERIZED	rspA // rspB	b1581
ydbH	b1381	1443051	1445690	putative phospholipid transport factor YdbH	PARTIAL	ydbL // ynbE // ydbH	b1381
rluA	b0058	59687	60346	23S rRNA pseudouridine<sup>746</sup> and tRNA pseudouridine<sup>32</sup> synthase	WELL-CHARACTERIZED	rluA // rapA	b0058
ivbL	b3672	3852890	3852988	<i>ilvBN</i> operon leader peptide	PARTIAL	uhpC // uhpB // uhpA // ilvN // ilvB // ivbL	b3672
sibC	b4446	3056851	3056991	small regulatory RNA antitoxin SibC	PARTIAL	sibC	b4446
ttdB	b3062	3207371	3207976	L(+)-tartrate dehydratase subunit &beta;	WELL-CHARACTERIZED	ttdT // ttdA // ttdB	b3062
yoaM	b4779	2347350	2347385	protein YoaM	UNCHARACTERIZED	yoaM	b4779
nuoL	b2278	2393205	2395046	NADH:quinone oxidoreductase subunit L	WELL-CHARACTERIZED	nuoL // nuoK // nuoJ // nuoI // nuoH // nuoG // nuoF // nuoE // nuoC // nuoB // nuoA // nuoN // nuoM	b2278
mlaB	b3191	3336963	3337256	intermembrane phospholipid transport system protein MlaB	WELL-CHARACTERIZED	mlaB // mlaC // mlaD // mlaE // mlaF	b3191
ftsQ	b0093	103155	103985	cell division protein FtsQ	PARTIAL	mraZ // rsmH // ftsO // lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL	b0093
iscX	b2524	2656536	2656736	accessory [Fe-S] cluster assembly protein IscX	WELL-CHARACTERIZED	iscX // fdx // hscA // hscB	b2524
zipA	b2412	2530247	2531233	cell division protein ZipA	PARTIAL	zipA	b2412
pflD	b3951	4143995	4146292	putative formate acetyltransferase 2	PARTIAL	pflD // pflC	b3951
yiiX	b3937	4127286	4127894	putative lipid-binding hydrolase YiiX	PARTIAL	yiiX	b3937
yidB	b3698	3877067	3877465	DUF937 domain-containing protein YidB	UNCHARACTERIZED	yidB	b3698
mtn	b0159	178455	179153	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	WELL-CHARACTERIZED	mtn // btuF // yadS	b0159
yehQ	b2122	2209100	2210944	SWIM zinc finger domains-containing protein YehQ	UNCHARACTERIZED	yehQ // yehP // yehM // yehL	b2122
ydiK	b1688	1769074	1770186	putative transporter YdiK	PARTIAL	ydiK	b1688
mak	b0394	410144	411052	fructokinase	PARTIAL	mak	b0394
rfbD	b2040	2111077	2111976	dTDP-4-dehydrorhamnose reductase	PARTIAL	rfbD // rfbB // rfbX // rfbC // rfbA	b2040
ulaG	b4192	4418561	4419625	L-ascorbate-6-phosphate lactonase	WELL-CHARACTERIZED	ulaG	b4192
wcaK	b2045	2117124	2118404	colanic acid biosynthesis pyruvyl transferase WcaK	WELL-CHARACTERIZED	wcaK // wcaL // wcaM	b2045
ykgG	b0308	323758	324453	DUF162 domain-containing lactate utilization protein YkgG	PARTIAL	ykgG // ykgF // ykgE	b0308
yfcP	b2333	2450051	2450590	putative fimbrial protein YfcP	PARTIAL	yfcU // yfcS // yfcR // yfcQ // yfcP // yfcO	b2333
ygiB	b3037	3179744	3180415	DUF1190 domain-containing protein YgiB	UNCHARACTERIZED	ygiC // ygiB // tolC	b3037
priC	b0467	490285	490812	primosomal replication protein N''	WELL-CHARACTERIZED	priC // ybaM	b0467
ortT	b1445	1517389	1517562	orphan toxin OrtT	PARTIAL	ortT	b1445
msbA	b0914	966621	968369	ATP-binding lipopolysaccharide transport protein	WELL-CHARACTERIZED	ycaQ // lpxK // msbA // ycaI	b0914
ygiA	b3036	3179596	3179856				b3036
dinQ	b4613	3647705	3647788	membrane toxin DinQ	PARTIAL	dinQ	b4613
yhfT	b3377	3506032	3507336	uncharacterized protein YhfT	UNCHARACTERIZED	yhfX // yhfW // php // yhfU // yhfT // yhfS	b3377
ubiK	b3042	3184840	3185130	ubiquinone biosynthesis accessory factor UbiK	PARTIAL	ubiK	b3042
glpF	b3927	4117245	4118090	glycerol facilitator	WELL-CHARACTERIZED	glpX // glpK // glpF	b3927
yfdX	b2375	2493767	2494402	protein YfdX	UNCHARACTERIZED	yfdX // oxc // yfdV // frc // yfdE	b2375
ddlB	b0092	102233	103153	D-alanine&mdash;D-alanine ligase B	WELL-CHARACTERIZED	mraZ // rsmH // ftsO // lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL	b0092
yacH	b0117	129407	131260	DUF3300 domain-containing protein YacH	UNCHARACTERIZED	yacH	b0117
aroK	b3390	3518543	3519064	shikimate kinase 1	WELL-CHARACTERIZED	aroB // aroK // damX // dam // gph // rpe // trpS	b3390
folE	b2153	2242984	2243652	GTP cyclohydrolase 1	WELL-CHARACTERIZED	folE // yeiB	b2153
aidB	b4187	4414275	4415900	isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor	WELL-CHARACTERIZED	aidB	b4187
ydiY	b1722	1805325	1806083	acid-inducible putative outer membrane protein YdiY	PARTIAL	ydiY	b1722
fimF	b4318	4547742	4548272	type 1 fimbriae minor subunit FimF	PARTIAL	fimR2 // fimD // fimH // fimG // fimF // fimC // fimI // fimA	b4318
yhbX	b3173	3319988	3321613	putative hydrolase YhbX	PARTIAL	yhbX	b3173
tatC	b3839	4022736	4023512	twin arginine protein translocation system - TatC protein	WELL-CHARACTERIZED	tatD // tatC // tatB // tatA	b3839
sseA	b2521	2652494	2653339	3-mercaptopyruvate sulfurtransferase	WELL-CHARACTERIZED	sseA	b2521
rnhB	b0183	204493	205089	RNase HII	WELL-CHARACTERIZED	dnaE // rnhB // lpxB // bamA // lpxA // fabZ // lpxD // skp	b0183
trhP	b2081	2165668	2167029	tRNA wobble base hydroxylation protein TrhP	PARTIAL	trhP	b2081
cyuP	b3110	3256679	3258010	L-cysteine importer	WELL-CHARACTERIZED	cyuP // cyuA	b3110
ushA	b0480	504914	506566	5'-nucleotidase / UDP-sugar hydrolase	WELL-CHARACTERIZED	ushA	b0480
yeaY	b1806	1889951	1890532	Slp family lipoprotein YeaY	UNCHARACTERIZED	tsaB // yeaY	b1806
yadN	b0141	156299	156883	putative fimbrial protein YadN	PARTIAL	yadN	b0141
sufC	b1682	1761766	1762512	Fe-S cluster scaffold complex subunit SufC	WELL-CHARACTERIZED	sufE // sufS // sufD // sufC // sufB // sufA	b1682
fliI	b1941	2016554	2017927	flagellar export ATPase FliI	WELL-CHARACTERIZED	fliF // fliG // fliH // fliI // fliJ // fliK	b1941
ybjG	b0841	882792	883388	undecaprenyl pyrophosphate phosphatase	WELL-CHARACTERIZED	ybjG	b0841
nudC	b3996	4196903	4197676	RNA decapping hydrolase	WELL-CHARACTERIZED	nfi // hemE // nudC	b3996
pdhR	b0113	122092	122856	DNA-binding transcriptional dual regulator PdhR	WELL-CHARACTERIZED	pdhR // aceE // aceF // lpd	b0113
yaiT	b4580			putative autotransporter YaiT		yaiT	b4580
insD2	b1402	1467921	1468826	IS2 insertion element protein InsB	UNCHARACTERIZED	insC2 // insD2 // insCD2	b1402
can	b0126	142008	142670	carbonic anhydrase 2	WELL-CHARACTERIZED	can	b0126
hyfD	b2484	2604811	2606250	hydrogenase 4 component D	PARTIAL	focB // hyfR // hyfJ // hyfI // hyfH // hyfG // hyfF // hyfE // hyfD // hyfC // hyfB // hyfA	b2484
insA2	b0265	279600	279875	IS1 protein InsA	PARTIAL	insA2 // insB2 // insAB2 // afuB // afuC	b0265
dmsD	b1591	1664506	1665120	redox enzyme maturation protein DmsD	WELL-CHARACTERIZED	dmsD // ynfH // ynfG // ynfF // ynfE	b1591
yljB	b4770	922740	922814	protein YljB	UNCHARACTERIZED		b4770
clpX	b0438	457426	458700	ATP-dependent Clp protease ATP-binding subunit ClpX	WELL-CHARACTERIZED	clpP // lon // clpX	b0438
cmoB	b1871	1953442	1954413	tRNA U34 carboxymethyltransferase	WELL-CHARACTERIZED	cmoB // cmoA // yecN	b1871
tatA	b3836	4021945	4022214	twin arginine protein translocation system - TatA protein	WELL-CHARACTERIZED	tatD // tatC // tatB // tatA	b3836
yihN	b3874	4062247	4063512	putative transporter YihN	PARTIAL	yihN	b3874
ytgA	b4800	4486105	4486155	protein YtgA	UNCHARACTERIZED		b4800
yhdE	b3248	3397785	3398378	nucleoside triphosphate pyrophosphatase YhdE	PARTIAL		b3248
ybaK	b0481	506603	507082	Cys-tRNA<sup>Pro</sup>/Cys-tRNA<sup>Cys</sup> deacylase YbaK	WELL-CHARACTERIZED	ybaK	b0481
yqiM	b4787	3247668	3247751	protein YqiM	UNCHARACTERIZED		b4787
dam	b3387	3515077	3515913	DNA adenine methyltransferase	WELL-CHARACTERIZED	aroB // aroK // damX // dam // gph // rpe // trpS	b3387
cobS	b1992	2064479	2065222	cobalamin 5'-phosphate synthase	WELL-CHARACTERIZED	cobT // cobS // cobU	b1992
folA	b0048	49823	50302	dihydrofolate reductase	WELL-CHARACTERIZED	folA	b0048
pyrI	b4244	4470986	4471447	aspartate carbamoyltransferase, PyrI subunit	WELL-CHARACTERIZED	pyrL // pyrI // pyrB	b4244
fimI	b4315	4543728	4544267	putative fimbrial protein FimI	PARTIAL	fimR2 // fimD // fimH // fimG // fimF // fimC // fimI // fimA	b4315
yjhF	b4296	4520671	4522020	KpLE2 phage-like element; putative transporter YjhF	PARTIAL	yjhF	b4296
pliG	b1178	1227071	1227472	inhibitor of g-type lysozyme	WELL-CHARACTERIZED	pliG	b1178
zwf	b1852	1934839	1936314	NADP+-dependent glucose-6-phosphate dehydrogenase	WELL-CHARACTERIZED	zwf	b1852
leuS	b0642	672201	674783	leucine&mdash;tRNA ligase	WELL-CHARACTERIZED	leuS // lptE // holA // nadD // cobC	b0642
arcB	b3210	3350689	3353025	ArcB-<i>N</i>-phospho-L-histidine-292 // ArcB-phospho-L-aspartate-576 // ArcB-<i>N</i>-phospho-L-histidine-717 // sensor histidine kinase ArcB	WELL-CHARACTERIZED	arcB	b3210
purA	b4177	4404687	4405985	adenylosuccinate synthetase	WELL-CHARACTERIZED	purA	b4177
uidB	b1616	1692890	1694263	glucuronide:H<sup>+</sup> symporter	PARTIAL	uidC // uidB // uidA	b1616
yfeW	b2430	2548102	2549406	penicillin binding protein 4B	WELL-CHARACTERIZED	yfeW // murP // murQ	b2430
add	b1623	1702233	1703234	adenosine deaminase	WELL-CHARACTERIZED	add	b1623
eutC	b2440	2556410	2557297	ethanolamine ammonia-lyase subunit &beta;	WELL-CHARACTERIZED	eutB // eutC // eutL // eutK // eutR	b2440
tabA	b4252	4474862	4475314	DUF386 domain-containing toxin-antitoxin biofilm protein TabA	PARTIAL	tabA	b4252
xerC	b3811	3996287	3997183	site-specific tyrosine recombinase	WELL-CHARACTERIZED	yigB // xerC // yigA // dapF // lptM	b3811
ygaY	b2681	2808316	2809493	putative transporter YgaY, N-terminal fragment		ygaY	b2681
secB	b3609	3783661	3784128	protein export chaperone SecB	WELL-CHARACTERIZED	yibN // secB // gpsA // grxC	b3609
ubiX	b2311	2428057	2428626	flavin prenyltransferase	WELL-CHARACTERIZED	ubiX // purF // cvpA	b2311
ytiA	b4715	4563668	4563925	uncharacterized protein YtiA	UNCHARACTERIZED		b4715
rayT	b0228	247637	248134	REP-associated tyrosine transposase	WELL-CHARACTERIZED	rayT	b0228
mukE	b0923	975622	976326	chromosome partitioning protein MukE	WELL-CHARACTERIZED	mukB // mukE // mukF // cmoM	b0923
ldtB	b0819	854824	855744	L,D-transpeptidase LdtB	WELL-CHARACTERIZED	ldtB	b0819
ptsG	b1101	1157869	1159302	EIIBC<sup>glc</sup> - phosphorylated // glucose-specific PTS enzyme IIBC component	WELL-CHARACTERIZED	ptsG	b1101
valU	b2401	2520931	2521006	tRNA-Val(UAC)	WELL-CHARACTERIZED	valU // valX // valY // lysV	b2401
yjjP	b4364	4602088	4602858	putative succinate exporter YjjP	PARTIAL	yjjP	b4364
preT	b2146	2234033	2235271	dihydropyrimidine dehydrogenase (NAD<sup>+</sup>) subunit PreT	WELL-CHARACTERIZED	preA // preT	b2146
ssuE	b0937	996937	997512	NADPH-dependent FMN reductase	WELL-CHARACTERIZED	ssuB // ssuC // ssuD // ssuA // ssuE	b0937
fumD	b1675	1754932	1755141	fumarase D	WELL-CHARACTERIZED	fumD	b1675
ybeD	b0631	662379	662642	DUF493 domain-containing protein YbeD	UNCHARACTERIZED	lipB // ybeD	b0631
glnV	b0665	696542	696616	tRNA-Gln(CUG)	WELL-CHARACTERIZED	glnX // glnV // metU // glnW // glnU // leuW // metT	b0665
jayE	b1152	1206131	1206922	e14 prophage; putative protein JayE		tfaP // ycfK // ymfQ // jayE // beeE // ymfR // ymfN // ymfM // ymfL // ymfT	b1152
ptrR	b1526	1614804	1615685	putrescine utilization regulator PtrR	PARTIAL	ptrR	b1526
insAB6		3583483	3584180	InsAB' transposase	PARTIAL	insB6 // insA6 // insAB6 // yrhA // yhhZ	
yhhQ	b3471	3609217	3609882	queuosine precursor transporter	WELL-CHARACTERIZED	yhhQ	b3471
msrB	b1778	1862016	1862429	methionine sulfoxide reductase B	WELL-CHARACTERIZED	msrB	b1778
yecT	b1877	1961972	1962460	protein YecT	UNCHARACTERIZED	yecT	b1877
pspG	b4050	4262840	4263082	phage shock protein G	PARTIAL	pspH // pspG	b4050
eco	b2209	2303905	2304393	serine protease inhibitor ecotin	PARTIAL	eco	b2209
cusR	b0571	594760	595443	DNA-binding transcriptional activator CusR-phosphorylated // DNA-binding transcriptional activator CusR	WELL-CHARACTERIZED	cusS // cusR	b0571
agaV	b3133	3280217	3280690	<i>N</i>-acetyl-D-galactosamine specific PTS enzyme IIB component	WELL-CHARACTERIZED	agaA // agaW // agaV // kbaZ	b3133
yffR	b2449	2563980	2564372	CPZ-55 prophage; uncharacterized protein YffR	UNCHARACTERIZED	yffR // yffQ	b2449
tfaE	b1156	1208517	1209119	e14 prophage; putative tail fiber assembly protein TfaE	PARTIAL	stfE // tfaE	b1156
rbsB	b3751	3936278	3937168	ribose ABC transporter periplasmic binding protein	WELL-CHARACTERIZED	rbsZ // rbsR // rbsD // rbsA // rbsC // rbsB // rbsK	b3751
murJ	b1069	1127839	1129374	lipid II flippase MurJ	WELL-CHARACTERIZED	murJ	b1069
relB	b1564	1645633	1645872	Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB	WELL-CHARACTERIZED	relB // relE // hokD	b1564
glcE	b4468	3125470	3126522	glycolate dehydrogenase, predicted FAD-binding subunit	WELL-CHARACTERIZED	glcG // glcF // glcE // glcD // glcA // glcB	b4468
yghO	b2981	3129043	3130215	putative DNA-binding transcriptional regulator YghO	PARTIAL	yghO	b2981
essD	b0554	577398	577613	DLP12 prophage; putative phage lysis protein	PARTIAL	rzpD // rrrD // essD	b0554
flhC	b1891	1977266	1977844	DNA-binding transcriptional dual regulator FlhC	WELL-CHARACTERIZED	flhC // flhD	b1891
hdeA	b3510	3656408	3656740	periplasmic acid stress chaperone HdeA	WELL-CHARACTERIZED	yhiD // hdeB // hdeA	b3510
glnW	b0668	696756	696830	tRNA-Gln(UUG)	WELL-CHARACTERIZED	glnX // glnV // metU // glnW // glnU // leuW // metT	b0668
cdgI	b1785	1870385	1871860	putative c-di-GMP binding protein CdgI	PARTIAL	cdgI	b1785
fryA	b2383	2501990	2504485	putative PTS multiphosphoryl transfer protein FryA	PARTIAL	fryB // fryC // ypdF // ypdE // fryA	b2383
envZ	b3404	3534516	3535868	sensor histidine kinase EnvZ	WELL-CHARACTERIZED	envZ // ompR	b3404
icd	b1136	1195123	1196373	isocitrate dehydrogenase	WELL-CHARACTERIZED	icd	b1136
rrlD	b3275	3423880	3426783	23S ribosomal RNA	WELL-CHARACTERIZED	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3275
kefC	b0047	47769	49631	K<sup>+</sup> : H<sup>+</sup> antiporter KefC	WELL-CHARACTERIZED	kefC // kefF	b0047
queC	b0444	464852	465547	7-cyano-7-deazaguanine synthase	WELL-CHARACTERIZED	queC	b0444
leuU	b3174	3322072	3322158	tRNA-Leu(GAG)	WELL-CHARACTERIZED	leuU // secG	b3174
yrfG	b3399	3528669	3529337	purine nucleotidase	WELL-CHARACTERIZED	yrfG // hslO // hslR	b3399
yehW	b2128	2215745	2216476	glycine betaine ABC transporter membrane subunit YehW	WELL-CHARACTERIZED	yehW // yehX // yehY // osmF	b2128
flgB	b1073	1131018	1131434	flagellar basal-body rod protein FlgB	WELL-CHARACTERIZED	flgB // flgC // flgD // flgE // flgF // flgG // flgH // flgI // flgJ	b1073
sutR	b1434	1506172	1506708	DNA-binding transcriptional dual regulator SutR	WELL-CHARACTERIZED	sutR	b1434
yiaW	b3587	3754105	3754428	DUF3302 domain-containing protein YiaW	UNCHARACTERIZED	yiaW // yiaV	b3587
