gene,allele,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,bnum
Ecoli_C40055,Ecoli_C40055A331,198214.SF1317,4.3599999999999995e-170,482.0,"COG1175@1|root,COG1175@2|Bacteria,1MWB7@1224|Proteobacteria,1RYUP@1236|Gammaproteobacteria",2|Bacteria,P,transporter,ycjO,"GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0044425,GO:0044459,GO:0044464,GO:0071944",-,"ko:K02025,ko:K02026,ko:K05814,ko:K10109,ko:K15771","ko02010,map02010","M00194,M00198,M00207,M00491",-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.1,3.A.1.1.1,3.A.1.1.16,3.A.1.1.2,3.A.1.1.22,3.A.1.1.3",-,"iSFxv_1172.SFxv_3786,iZ_1308.Z5631",BPD_transp_1,b1311
Ecoli_C28715,Ecoli_C28715A139,316407.85676531,1.06e-263,725.0,"COG0845@1|root,COG0845@2|Bacteria,1MU78@1224|Proteobacteria,1SJRC@1236|Gammaproteobacteria,3XPI0@561|Escherichia",2|Bacteria,M,"Part of the tripartite efflux system MdtEF-TolC, which confers resistance to",mdtE,"GO:0003674,GO:0005215,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0006855,GO:0006869,GO:0008150,GO:0010876,GO:0015238,GO:0015711,GO:0015718,GO:0015721,GO:0015849,GO:0015850,GO:0015893,GO:0016020,GO:0016021,GO:0022857,GO:0030288,GO:0030313,GO:0031224,GO:0031226,GO:0031975,GO:0032991,GO:0033036,GO:0042221,GO:0042493,GO:0042597,GO:0042802,GO:0044425,GO:0044459,GO:0044464,GO:0046677,GO:0046942,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0098796,GO:1902495,GO:1990281,GO:1990351",-,"ko:K03585,ko:K18141,ko:K18898","ko01501,ko01503,map01501,map01503","M00646,M00647,M00696,M00697,M00699,M00718",-,-,"ko00000,ko00001,ko00002,ko01504,ko02000,ko03036","2.A.6.2,8.A.1,8.A.1.6,8.A.1.6.3",-,iSDY_1059.SDY_0456,"Biotin_lipoyl_2,HlyD,HlyD_3,HlyD_D23",b3513
Ecoli_C230,Ecoli_C230A183,316407.85675179,0.0,3962.0,"COG1388@1|root,COG1470@1|root,COG1388@2|Bacteria,COG1470@2|Bacteria,1MX9S@1224|Proteobacteria,1RPK7@1236|Gammaproteobacteria,3XN7T@561|Escherichia",2|Bacteria,M,cell adhesion,lppY,"GO:0005575,GO:0005623,GO:0007155,GO:0008150,GO:0009279,GO:0009405,GO:0009987,GO:0016020,GO:0019867,GO:0022610,GO:0030260,GO:0030312,GO:0030313,GO:0031589,GO:0031975,GO:0042710,GO:0043708,GO:0044403,GO:0044409,GO:0044419,GO:0044462,GO:0044464,GO:0044764,GO:0051701,GO:0051704,GO:0051806,GO:0051828,GO:0071944,GO:0090605",-,ko:K13735,"ko05100,map05100",-,-,-,"ko00000,ko00001",-,-,-,"Amidase_2,Big_1,Big_2,CW_7,DUF1529,Glyco_hydro_92,IAT_beta,Invasin_D3,LysM,NPCBM_assoc",b1978
Ecoli_C272327,,,,,,,,,,,,,,,,,,,,,,
Ecoli_C288274,,,,,,,,,,,,,,,,,,,,,,
Ecoli_C63506,Ecoli_C63506A80,316407.85676850,1.0399999999999999e-176,493.0,"COG4107@1|root,COG4107@2|Bacteria,1MVRN@1224|Proteobacteria,1RR70@1236|Gammaproteobacteria",2|Bacteria,P,phosphonate C-P lyase system protein PhnK,phnK,"GO:0005575,GO:0006793,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0019634,GO:0019637,GO:0019700,GO:0032991,GO:0044237,GO:0046434,GO:0071704,GO:1901575,GO:1902494,GO:1904176",4.7.1.1,"ko:K05781,ko:K06163","ko00440,map00440",-,R10204,"RC03078,RC03079","ko00000,ko00001,ko01000",-,-,-,ABC_tran,b4097
Ecoli_C36548,Ecoli_C36548A42,1440052.EAKF1_ch2333,4.45e-183,517.0,"COG0240@1|root,COG0240@2|Bacteria,1MUU3@1224|Proteobacteria,1RPQ7@1236|Gammaproteobacteria,3XNWW@561|Escherichia",2|Bacteria,I,Glycerol-3-phosphate dehydrogenase,gpsA,"GO:0003674,GO:0003824,GO:0004367,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006072,GO:0006629,GO:0006644,GO:0006650,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0009058,GO:0009987,GO:0016491,GO:0016614,GO:0016616,GO:0019637,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0045017,GO:0046474,GO:0046486,GO:0047952,GO:0052646,GO:0055114,GO:0071704,GO:0090407,GO:1901135,GO:1901576",1.1.1.94,ko:K00057,"ko00564,ko01110,map00564,map01110",-,"R00842,R00844",RC00029,"ko00000,ko00001,ko01000",-,-,"iJN746.PP_4169,iSFV_1184.SFV_3923","NAD_Gly3P_dh_C,NAD_Gly3P_dh_N",b3608
Ecoli_C177939,Ecoli_C177939A595,481805.EcolC_3171,1.02e-55,179.0,"COG1662@1|root,COG3677@1|root,COG1662@2|Bacteria,COG3677@2|Bacteria,1RF0C@1224|Proteobacteria,1S5S1@1236|Gammaproteobacteria,3XQAS@561|Escherichia",2|Bacteria,L,hmm pf03400,-,-,-,ko:K07480,-,-,-,-,ko00000,-,-,-,"DDE_Tnp_IS1,HTH_Tnp_IS1,Zn_Tnp_IS1",b4516
Ecoli_C133982,Ecoli_C133982A73,316407.85676996,4.29e-93,272.0,"COG0251@1|root,COG0251@2|Bacteria,1RCX5@1224|Proteobacteria,1S478@1236|Gammaproteobacteria,3XPQT@561|Escherichia",2|Bacteria,J,Endoribonuclease L-PSP,yjgH,-,-,-,-,-,-,-,-,-,-,-,Ribonuc_L-PSP,b4248
Ecoli_C24146,Ecoli_C24146A486,199310.c3208,0.0,886.0,"COG0579@1|root,COG0579@2|Bacteria,1N0QB@1224|Proteobacteria,1RN24@1236|Gammaproteobacteria,3XPBR@561|Escherichia",2|Bacteria,C,L-2-hydroxyglutarate oxidase LhgO,lhgO,"GO:0000166,GO:0003674,GO:0003824,GO:0003973,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0008150,GO:0008152,GO:0016020,GO:0016491,GO:0016614,GO:0016899,GO:0034419,GO:0036094,GO:0043167,GO:0043168,GO:0044424,GO:0044464,GO:0048037,GO:0050660,GO:0050662,GO:0055114,GO:0071944,GO:0097159,GO:1901265,GO:1901363",-,ko:K15736,-,-,-,-,"ko00000,ko01000",-,-,-,DAO,b2660
Ecoli_C18876,Ecoli_C18876A367,199310.c5486,1.2700000000000001e-303,833.0,"COG0642@1|root,COG2205@2|Bacteria,1N17V@1224|Proteobacteria,1RPVU@1236|Gammaproteobacteria,3XM7C@561|Escherichia",2|Bacteria,T,Member of the two-component regulatory system CreC CreB involved in catabolic regulation. CreC may function as a membrane- associated protein kinase that phosphorylates CreB in response to environmental signals. CreC can also phosphorylate PhoB,creC,"GO:0000155,GO:0000160,GO:0003674,GO:0003824,GO:0004672,GO:0004673,GO:0005575,GO:0005623,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0007584,GO:0008150,GO:0008152,GO:0009605,GO:0009987,GO:0009991,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0016775,GO:0018106,GO:0018193,GO:0018202,GO:0019538,GO:0023014,GO:0023052,GO:0031667,GO:0035556,GO:0036211,GO:0042221,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071704,GO:0071944,GO:0140096,GO:1901564",2.7.13.3,"ko:K07641,ko:K07642,ko:K07711,ko:K14980","ko02020,ko02024,map02020,map02024","M00449,M00450,M00502,M00520,M00645,M00646,M00648",-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko02022",-,-,-,"HAMP,HATPase_c,HisKA,dCache_3,sCache_3_2",b4399
Ecoli_C105021,Ecoli_C105021A286,155864.EDL933_3127,2e-132,375.0,"COG0110@1|root,COG0110@2|Bacteria,1R6A3@1224|Proteobacteria,1RQXV@1236|Gammaproteobacteria,3XN6J@561|Escherichia",2|Bacteria,S,slime layer organization,wcaF,"GO:0003674,GO:0003824,GO:0008374,GO:0016740,GO:0016746,GO:0016747",2.3.1.79,"ko:K00661,ko:K03818",-,-,-,-,"ko00000,ko01000",-,-,-,"Hexapep,Hexapep_2",b2054
Ecoli_C27629,Ecoli_C27629A409,481805.EcolC_2737,5.3e-277,758.0,"COG2265@1|root,COG2265@2|Bacteria,1N8DN@1224|Proteobacteria,1RMX4@1236|Gammaproteobacteria,3XP7M@561|Escherichia",2|Bacteria,J,Catalyzes the formation of 5-methyl-uridine at position 747 (m5U747) in 23S rRNA,rumB,"GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008173,GO:0008649,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016436,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0070475,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360","2.1.1.189,2.1.1.190","ko:K03212,ko:K03215",-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,tRNA_U5-meth_tr,b0859
Ecoli_C39988,Ecoli_C39988A416,316407.85677052,5.3799999999999993e-250,685.0,"2DDQI@1|root,2ZIWU@2|Bacteria,1QWCB@1224|Proteobacteria,1T2TM@1236|Gammaproteobacteria,3XRN6@561|Escherichia",2|Bacteria,S,"Probably catalyzes the hydrolysis of the 9-O-acetyl group of 9-O-acetyl-N-acetylneuraminate (Neu5,9Ac2). Is required for growth of E.coli on Neu5,9Ac2, an alternative sialic acid commonly found in mammalian host mucosal sites, in particular in the human intestine",nanS,"GO:0006082,GO:0008150,GO:0008152,GO:0009987,GO:0019752,GO:0043436,GO:0044237,GO:0044281,GO:0071704",-,ko:K22111,-,-,-,-,ko00000,-,-,-,SASA,b4309
Ecoli_C15273,Ecoli_C15273A225,316407.85674300,1.95e-299,823.0,"COG2271@1|root,COG2271@2|Bacteria,1QV3V@1224|Proteobacteria,1T27B@1236|Gammaproteobacteria,3XN87@561|Escherichia",2|Bacteria,P,response to oxidative stress,yaaU,"GO:0005575,GO:0005623,GO:0005886,GO:0006950,GO:0006979,GO:0008150,GO:0016020,GO:0044464,GO:0050896,GO:0071944",-,ko:K08368,-,-,-,-,"ko00000,ko02000",2.A.1,-,-,Sugar_tr,b0045
Ecoli_C27159,Ecoli_C27159A0,316407.85676420,7.419999999999999e-277,760.0,"COG3307@1|root,COG3307@2|Bacteria,1R7C4@1224|Proteobacteria,1RSH3@1236|Gammaproteobacteria",2|Bacteria,M,O-antigen ligase,rfaL,"GO:0000271,GO:0005575,GO:0005623,GO:0005886,GO:0005975,GO:0005976,GO:0006629,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0009058,GO:0009059,GO:0009103,GO:0009244,GO:0009311,GO:0009312,GO:0009987,GO:0016020,GO:0016051,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044464,GO:0046401,GO:0071704,GO:0071944,GO:1901135,GO:1901137,GO:1901576,GO:1903509",-,ko:K02847,"ko00540,ko01100,map00540,map01100",M00080,-,-,"ko00000,ko00001,ko00002,ko01000,ko01005,ko02000","9.B.67.4,9.B.67.5",-,-,Wzy_C,b3622
Ecoli_C112186,Ecoli_C112186A22,316407.85676081,3.29e-130,369.0,"2DM70@1|root,31ZPH@2|Bacteria,1NI52@1224|Proteobacteria,1SGPA@1236|Gammaproteobacteria,3XQT4@561|Escherichia",2|Bacteria,-,-,htrC,-,-,-,-,-,-,-,-,-,-,-,-,b3989
Ecoli_C17721,Ecoli_C17721A84,469008.B21_03739,0.0,981.0,"COG1070@1|root,COG1070@2|Bacteria,1N51F@1224|Proteobacteria,1RQX6@1236|Gammaproteobacteria,3XPCK@561|Escherichia",2|Bacteria,F,Involved in the catabolism of L-rhamnose (6-deoxy-L- mannose). Catalyzes the transfer of the gamma-phosphate group from ATP to the 1-hydroxyl group of L-rhamnulose to yield L-rhamnulose 1-phosphate,rhaB,"GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0005975,GO:0005996,GO:0006793,GO:0006796,GO:0008144,GO:0008150,GO:0008152,GO:0008993,GO:0009056,GO:0009987,GO:0016052,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019200,GO:0019299,GO:0019301,GO:0019318,GO:0019320,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044262,GO:0044281,GO:0044282,GO:0046365,GO:0046835,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901575","2.7.1.17,2.7.1.5,2.7.1.51,2.7.1.53,5.3.1.14","ko:K00848,ko:K00854,ko:K00879,ko:K00880,ko:K01813","ko00040,ko00051,ko00053,ko01100,ko01120,map00040,map00051,map00053,map01100,map01120",M00014,"R01639,R01901,R01902,R02437,R03014,R03241,R07127","RC00002,RC00017,RC00434,RC00538","ko00000,ko00001,ko00002,ko01000",-,-,"iAPECO1_1312.APECO1_2885,iB21_1397.B21_02615,iECB_1328.ECB_02654,iECD_1391.ECD_02654,iECOK1_1307.ECOK1_4011,iECP_1309.ECP_3667,iECS88_1305.ECS88_3982,iEcE24377_1341.EcE24377A_4435,iEcSMS35_1347.EcSMS35_3903,iUMN146_1321.UM146_17990,iUTI89_1310.UTI89_C4105","FGGY_C,FGGY_N",b3904
Ecoli_C6948,Ecoli_C6948A672,199310.c1052,0.0,1540.0,"COG0658@1|root,COG2333@1|root,COG0658@2|Bacteria,COG2333@2|Bacteria,1MUKF@1224|Proteobacteria,1RMW6@1236|Gammaproteobacteria,3XNAX@561|Escherichia",2|Bacteria,S,establishment of competence for transformation,ycaI,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,ko:K02238,-,M00429,-,-,"ko00000,ko00002,ko02044","3.A.11.1,3.A.11.2",-,-,"Competence,DUF4131,Lactamase_B",b0913
Ecoli_C48300,Ecoli_C48300A65,481805.EcolC_2296,1.2699999999999999e-203,565.0,"COG0583@1|root,COG0583@2|Bacteria,1MU2E@1224|Proteobacteria,1RQ66@1236|Gammaproteobacteria,3XPH8@561|Escherichia",2|Bacteria,K,Transcriptional regulator,ycjZ,"GO:0001539,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0006928,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0040011,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0045892,GO:0045934,GO:0046483,GO:0048519,GO:0048523,GO:0048870,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051179,GO:0051252,GO:0051253,GO:0051674,GO:0060255,GO:0065007,GO:0071704,GO:0071973,GO:0071978,GO:0080090,GO:0090304,GO:0097159,GO:0097588,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141",-,-,-,-,-,-,-,-,-,-,"HTH_1,LysR_substrate",b1328
Ecoli_C5812,Ecoli_C5812A586,316407.85675036,0.0,1629.0,"COG0243@1|root,COG0243@2|Bacteria,1NR6J@1224|Proteobacteria,1RMVE@1236|Gammaproteobacteria",2|Bacteria,C,Belongs to the prokaryotic molybdopterin-containing oxidoreductase family,ynfF,"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0006091,GO:0008150,GO:0008152,GO:0009055,GO:0009060,GO:0009061,GO:0009390,GO:0009897,GO:0009986,GO:0009987,GO:0015980,GO:0016020,GO:0016491,GO:0016661,GO:0016662,GO:0016667,GO:0016671,GO:0022900,GO:0030151,GO:0030288,GO:0030313,GO:0031224,GO:0031226,GO:0031233,GO:0031237,GO:0031975,GO:0032991,GO:0033744,GO:0033797,GO:0042597,GO:0043167,GO:0043169,GO:0044237,GO:0044425,GO:0044459,GO:0044464,GO:0045333,GO:0046872,GO:0046914,GO:0048037,GO:0050626,GO:0051536,GO:0051539,GO:0051540,GO:0055114,GO:0071944,GO:0098552,GO:0098567,GO:1902494","1.7.2.3,1.8.5.3,1.97.1.9","ko:K07306,ko:K07309,ko:K07310,ko:K07811,ko:K07812,ko:K08351","ko00450,ko00780,ko00920,ko01100,ko02020,map00450,map00780,map00920,map01100,map02020",-,"R07229,R09501,R10127","RC02420,RC02555,RC03056","ko00000,ko00001,ko01000,ko02000","5.A.3.3,5.A.3.4",-,"iE2348C_1286.E2348C_1672,iEC042_1314.EC042_1073,iECSE_1348.ECSE_0952,iEcHS_1320.EcHS_A3752,iEcolC_1368.EcolC_0165,iNRG857_1313.NRG857_07945,iNRG857_1313.NRG857_09385","Molybdop_Fe4S4,Molybdopterin,Molydop_binding,TAT_signal",b1588
Ecoli_C193523,Ecoli_C193523A15,1218086.BBNB01000013_gene1936,4.3799999999999995e-25,96.7,"2E8D0@1|root,332RI@2|Bacteria,1N8FV@1224|Proteobacteria,1SCBJ@1236|Gammaproteobacteria,3WYRE@544|Citrobacter",2|Bacteria,S,Phage shock protein G (Phageshock_PspG),pspG,"GO:0006950,GO:0008150,GO:0009271,GO:0009605,GO:0009607,GO:0009615,GO:0043207,GO:0050896,GO:0051704,GO:0051707,GO:0098586",-,-,-,-,-,-,-,-,-,-,Phageshock_PspG,b4050
Ecoli_C54307,Ecoli_C54307A160,316407.21238990,1.99e-159,451.0,"COG0413@1|root,COG0413@2|Bacteria,1MU3B@1224|Proteobacteria,1RM8D@1236|Gammaproteobacteria,3XNWS@561|Escherichia",2|Bacteria,H,"Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate",panB,"GO:0000287,GO:0003674,GO:0003824,GO:0003864,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006573,GO:0006575,GO:0006732,GO:0006766,GO:0006767,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009081,GO:0009108,GO:0009110,GO:0009987,GO:0015939,GO:0015940,GO:0016053,GO:0016740,GO:0016741,GO:0016742,GO:0019752,GO:0032787,GO:0033317,GO:0034641,GO:0042364,GO:0042398,GO:0042802,GO:0043167,GO:0043169,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046872,GO:0051186,GO:0051188,GO:0071704,GO:0072330,GO:1901564,GO:1901566,GO:1901576,GO:1901605",2.1.2.11,ko:K00606,"ko00770,ko01100,ko01110,map00770,map01100,map01110",M00119,R01226,"RC00022,RC00200","ko00000,ko00001,ko00002,ko01000",-,-,"iB21_1397.B21_00132,iE2348C_1286.E2348C_0137,iECBD_1354.ECBD_3485,iECB_1328.ECB_00133,iECD_1391.ECD_00133,iPC815.YPO3401",Pantoate_transf,b0134
Ecoli_C53146,Ecoli_C53146A81,199310.c1895,4.36e-209,578.0,"COG2162@1|root,COG2162@2|Bacteria,1RDF3@1224|Proteobacteria,1RQTF@1236|Gammaproteobacteria,3XMHM@561|Escherichia",2|Bacteria,Q,"Catalyzes the acetyl-CoA-dependent N-acetylation of aromatic amines, and, probably, the O-acetylation of N- hydroxyarylamines. In vitro, catalyzes the N-acetylation of various arylamines such as aminobenzoic acid, aminophenol, aminotoluene, phenetidine, anisidine, aniline, isoniazid and 2- amino-fluorene. N-hydroxyarylamine O-acetyltransferase activity has not been assayed directly, however, NhoA activity is required for the mutagenicity of nitroaromatic compounds, suggesting that it also has O-acetyltransferase activity",nhoA,"GO:0003674,GO:0003824,GO:0004060,GO:0005575,GO:0005623,GO:0005886,GO:0008080,GO:0008374,GO:0016020,GO:0016407,GO:0016410,GO:0016413,GO:0016740,GO:0016746,GO:0016747,GO:0044464,GO:0046990,GO:0071944","2.3.1.118,2.3.1.5","ko:K00622,ko:K00675","ko00232,ko00633,ko00983,ko01100,ko01110,ko01120,ko05204,map00232,map00633,map00983,map01100,map01110,map01120,map05204",-,"R07940,R08036,R08248,R08250,R11902","RC00004,RC00416,RC00962,RC02961","ko00000,ko00001,ko01000",-,-,"iECs_1301.ECs2066,iEcHS_1320.EcHS_A1547,iEcSMS35_1347.EcSMS35_1711,iZ_1308.Z2250",Acetyltransf_2,b1463
Ecoli_C72148,Ecoli_C72148A201,316407.85676460,3.96e-166,465.0,"COG0235@1|root,COG0235@2|Bacteria,1MU54@1224|Proteobacteria,1RMIP@1236|Gammaproteobacteria,3XQC1@561|Escherichia",2|Bacteria,G,L-ribulose-5-phosphate 4-epimerase,araD,"GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006004,GO:0006082,GO:0006732,GO:0006766,GO:0006767,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008270,GO:0008738,GO:0008742,GO:0008994,GO:0009056,GO:0009058,GO:0009987,GO:0016052,GO:0016829,GO:0016830,GO:0016832,GO:0016853,GO:0016854,GO:0016857,GO:0019299,GO:0019301,GO:0019317,GO:0019318,GO:0019320,GO:0019321,GO:0019323,GO:0019324,GO:0019566,GO:0019568,GO:0019569,GO:0019571,GO:0019572,GO:0019637,GO:0019752,GO:0019852,GO:0042354,GO:0042355,GO:0042802,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046365,GO:0046372,GO:0046373,GO:0046872,GO:0046914,GO:0051167,GO:0051186,GO:0071704,GO:0090407,GO:1901135,GO:1901137,GO:1901159,GO:1901575,GO:1901576","4.1.1.104,4.1.2.17,4.1.2.19,5.1.3.4","ko:K01628,ko:K01629,ko:K03077,ko:K22130","ko00040,ko00051,ko00053,ko01100,ko01120,map00040,map00051,map00053,map01100,map01120",M00550,"R01785,R02262,R02263,R05850","RC00438,RC00599,RC00603,RC00604,RC01479","ko00000,ko00001,ko00002,ko01000",-,-,"iECED1_1282.ECED1_3191,iECO111_1330.ECO111_4403,iLF82_1304.LF82_1866,iLF82_1304.LF82_2127,iNRG857_1313.NRG857_17845,iNRG857_1313.NRG857_19475,iSDY_1059.SDY_4367,iSSON_1240.SSON_0067",Aldolase_II,b3583
Ecoli_C113765,Ecoli_C113765A41,155864.EDL933_3081,8.03e-112,322.0,"COG3449@1|root,COG3449@2|Bacteria,1RG5K@1224|Proteobacteria,1S4HI@1236|Gammaproteobacteria,3XMF6@561|Escherichia",2|Bacteria,L,"Inhibits the supercoiling activity of DNA gyrase. Acts by inhibiting DNA gyrase at an early step, prior to (or at the step of) binding of DNA by the gyrase. It protects cells against toxins that target DNA gyrase, by inhibiting activity of these toxins and reducing the formation of lethal double-strand breaks in the cell",sbmC,"GO:0003674,GO:0004857,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006275,GO:0006950,GO:0006974,GO:0008150,GO:0008156,GO:0008657,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010556,GO:0010558,GO:0010605,GO:0010911,GO:0019219,GO:0019222,GO:0019899,GO:0030234,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032780,GO:0033554,GO:0042030,GO:0043086,GO:0043462,GO:0044092,GO:0044424,GO:0044464,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051052,GO:0051053,GO:0051171,GO:0051172,GO:0051336,GO:0051346,GO:0051716,GO:0060255,GO:0060589,GO:0060590,GO:0065007,GO:0065009,GO:0072586,GO:0080090,GO:0090329,GO:0098772,GO:2000104,GO:2000112,GO:2000113,GO:2000371,GO:2000372",-,"ko:K07470,ko:K13652",-,-,-,-,"ko00000,ko03000",-,-,-,"GyrI-like,HTH_18,HTH_AraC",b2009
Ecoli_C27045,Ecoli_C27045A8,481805.EcolC_1509,7.930000000000001e-289,793.0,"COG1538@1|root,COG1538@2|Bacteria,1MUZZ@1224|Proteobacteria,1RQEP@1236|Gammaproteobacteria,3XMP8@561|Escherichia",2|Bacteria,MU,"Could be involved in resistance to puromycin, acriflavine and tetraphenylarsonium chloride",mdtQ,"GO:0008150,GO:0042221,GO:0046677,GO:0050896",-,ko:K15550,-,-,-,-,"ko00000,ko02000",1.B.17.3.9,-,-,OEP,
Ecoli_C102063,Ecoli_C102063A25,316407.4062315,2.69e-128,365.0,"COG3539@1|root,COG3539@2|Bacteria,1N3XD@1224|Proteobacteria,1SBRY@1236|Gammaproteobacteria,3XQQJ@561|Escherichia",2|Bacteria,NU,cell adhesion,ybgD,-,-,ko:K07345,"ko05133,map05133",-,-,-,"ko00000,ko00001,ko02035,ko02044",-,-,-,Fimbrial,b0719
Ecoli_C38406,Ecoli_C38406A13,316407.85674730,9.2e-51,179.0,"COG0790@1|root,COG0790@2|Bacteria,1MWPA@1224|Proteobacteria,1RPI3@1236|Gammaproteobacteria",2|Bacteria,O,"COG0790 FOG TPR repeat, SEL1 subfamily",ybeQ,"GO:0003674,GO:0006950,GO:0006979,GO:0008047,GO:0008150,GO:0030234,GO:0043085,GO:0044093,GO:0050790,GO:0050896,GO:0065007,GO:0065009,GO:0098772",-,ko:K07126,-,-,-,-,ko00000,-,-,-,Sel1,b0644
Ecoli_C100624,Ecoli_C100624A84,362663.ECP_3419,1.2000000000000002e-124,356.0,"COG4795@1|root,COG4795@2|Bacteria,1N942@1224|Proteobacteria,1SED4@1236|Gammaproteobacteria",2|Bacteria,U,type II secretion system protein,gspJ,"GO:0002790,GO:0006810,GO:0008104,GO:0008150,GO:0009306,GO:0009987,GO:0015031,GO:0015628,GO:0015833,GO:0032940,GO:0033036,GO:0042886,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071806,GO:0098776",-,"ko:K02459,ko:K02680","ko03070,ko05111,map03070,map05111",M00331,-,-,"ko00000,ko00001,ko00002,ko02044",3.A.15,-,-,"N_methyl,T2SSJ",b3331
