,sample_id,study,project,reference_condition,reference_condition_old,condition,rep_id,Strain Description,Strain,Culture Type,Evolved Sample,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Antibiotic for selection,Growth_Phase,Growth Rate (1/hr),Isolate Type,Additional Details,Sequencing Machine,LibraryLayout,Platform,Biological Replicates,doi,GEO,SRX,Run,R1,R2,contact,creator,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,run_date,n_replicates,PxK_sample_type,deleted_genes,mutated_genes,overexpressed_genes,passed_replicate_correlations,show_study,study_sort,qc_id
pmg_wt_458,DDB_PD_038_AMBR_R8_S11_RNA_seq,DDB_PD_038_AMBR,ddb_pd_038,pmg_wt_453;pmg_wt_454,[DDB_PD_038]_[SDT122_WT]_[Batch]_[0h],[DDB_PD_038]_[SDT122_WT]_[Fed-batch]_[13h],2,Escherichia coli K-12 MG1655,SDT122,AMBR,,DDB_BM_002,30,6.5,glucose(4),NH4Cl(1),O2,DDB_TM_002,,,,,,,,PAIRED,ILLUMINA,2,https://doi.org/10.1101/2024.01.29.575348,GSE252784,SRX23134331,,s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/DDB_PD_038_AMBR_R8_S11_RNA_seq_R1.fastq.gz,s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/DDB_PD_038_AMBR_R8_S11_RNA_seq_R2.fastq.gz,,,TRUE,,TRUE,TRUE,ddb_pd_038:[DDB_PD_038]_[SDT122_WT]_[Fed-batch]_[13h],,,4/26/2021,,WT,,,,TRUE,DDB_PD_038_AMBR,0,pxk_0131
pmg_wt_459,eep__BOP27__1,EEP,eep,pmg_wt_445;pmg_wt_446,BOP27,BOP27,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/eep/PAL029_S29_L001_R1_001.fastq.gz;s3://precise-db/raw_data/eep/PAL029_S29_L002_R1_001.fastq.gz;s3://precise-db/raw_data/eep/PAL029_S29_L003_R1_001.fastq.gz;s3://precise-db/raw_data/eep/PAL029_S29_L004_R1_001.fastq.gz,s3://precise-db/raw_data/eep/PAL029_S29_L001_R2_001.fastq.gz;s3://precise-db/raw_data/eep/PAL029_S29_L002_R2_001.fastq.gz;s3://precise-db/raw_data/eep/PAL029_S29_L003_R2_001.fastq.gz;s3://precise-db/raw_data/eep/PAL029_S29_L004_R2_001.fastq.gz,amiteshanand@eng.ucsd.edu,Amitesh Anand,TRUE,TRUE,TRUE,TRUE,eep:BOP27,TRUE,TRUE,9/1/2020,2,WT,,,,TRUE,EEP,0,p1k_00882
pmg_wt_460,eep__BOP27__2,EEP,eep,pmg_wt_445;pmg_wt_446,BOP27,BOP27,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/eep/PAL030_S30_L001_R1_001.fastq.gz;s3://precise-db/raw_data/eep/PAL030_S30_L002_R1_001.fastq.gz;s3://precise-db/raw_data/eep/PAL030_S30_L003_R1_001.fastq.gz;s3://precise-db/raw_data/eep/PAL030_S30_L004_R1_001.fastq.gz,s3://precise-db/raw_data/eep/PAL030_S30_L001_R2_001.fastq.gz;s3://precise-db/raw_data/eep/PAL030_S30_L002_R2_001.fastq.gz;s3://precise-db/raw_data/eep/PAL030_S30_L003_R2_001.fastq.gz;s3://precise-db/raw_data/eep/PAL030_S30_L004_R2_001.fastq.gz,amiteshanand@eng.ucsd.edu,Amitesh Anand,TRUE,TRUE,TRUE,TRUE,eep:BOP27,TRUE,TRUE,9/1/2020,2,WT,,,,TRUE,EEP,0,p1k_00883
pmg_wt_461,BIKI_NEBR_1_BioDesignER_replicate_1_DMSO_S60_L002,electric_coli,electric_coli,pmg_wt_461;pmg_wt_462,biodesign_dmso,biodesign_dmso,1,WT,MG1655,Batch,No,M9P buffer,30,6.5,pyruvate(2mM),None,DMSO (10%) only,,,,,0.25,,,,PAIRED,ILLUMINA,3,https://doi.org/10.1101/2024.05.30.596743,PRJNA1194191,,,s3://sbrg-sequencing-files/2023-06-29-IGM-NovaSeq/BIKI_NEBR_1_BioDesignER_replicate_1_DMSO_S60_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-06-29-IGM-NovaSeq/BIKI_NEBR_1_BioDesignER_replicate_1_DMSO_S60_L002_R2_001.fastq.gz,Biki Kundu,Biki Kundu,TRUE,,TRUE,TRUE,electric_coli:biodesign_dmso,,,10/18/2023,3,WT,,,,TRUE,electric_coli,0,pxk_0050
pmg_wt_462,BIKI_NEBR_3_BioDesignER_replicate_3_DMSO_S62_L002,electric_coli,electric_coli,pmg_wt_461;pmg_wt_462,biodesign_dmso,biodesign_dmso,3,WT,MG1655,Batch,No,M9P buffer,30,6.5,pyruvate(2mM),None,DMSO (10%) only,,,,,0.25,,,,PAIRED,ILLUMINA,3,https://doi.org/10.1101/2024.05.30.596743,PRJNA1194191,,,s3://sbrg-sequencing-files/2023-06-29-IGM-NovaSeq/BIKI_NEBR_3_BioDesignER_replicate_3_DMSO_S62_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-06-29-IGM-NovaSeq/BIKI_NEBR_3_BioDesignER_replicate_3_DMSO_S62_L002_R2_001.fastq.gz,Biki Kundu,Biki Kundu,TRUE,,TRUE,TRUE,electric_coli:biodesign_dmso,,,10/18/2023,3,WT,,,,TRUE,electric_coli,0,pxk_0052
pmg_wt_463,BIKI_NEBR_4_BioDesignER_replicate_1_HNQ_S63_L002,electric_coli,electric_coli,pmg_wt_461;pmg_wt_462,biodesign_dmso,biodesign_hnq,1,WT,MG1655,Batch,No,M9P buffer,30,6.5,pyruvate(2mM),None,"HNQ (20uM), DMSO (10%)",,,,,0.25,,,,PAIRED,ILLUMINA,3,https://doi.org/10.1101/2024.05.30.596743,PRJNA1194191,,,s3://sbrg-sequencing-files/2023-06-29-IGM-NovaSeq/BIKI_NEBR_4_BioDesignER_replicate_1_HNQ_S63_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-06-29-IGM-NovaSeq/BIKI_NEBR_4_BioDesignER_replicate_1_HNQ_S63_L002_R2_001.fastq.gz,Biki Kundu,Biki Kundu,TRUE,,TRUE,TRUE,electric_coli:biodesign_hnq,,,10/18/2023,3,WT,,,,TRUE,electric_coli,0,pxk_0053
pmg_wt_464,BIKI_NEBR_5_BioDesignER_replicate_2_HNQ_S64_L002,electric_coli,electric_coli,pmg_wt_461;pmg_wt_462,biodesign_dmso,biodesign_hnq,2,WT,MG1655,Batch,No,M9P buffer,30,6.5,pyruvate(2mM),None,"HNQ (20uM), DMSO (10%)",,,,,0.25,,,,PAIRED,ILLUMINA,3,https://doi.org/10.1101/2024.05.30.596743,PRJNA1194191,,,s3://sbrg-sequencing-files/2023-06-29-IGM-NovaSeq/BIKI_NEBR_5_BioDesignER_replicate_2_HNQ_S64_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-06-29-IGM-NovaSeq/BIKI_NEBR_5_BioDesignER_replicate_2_HNQ_S64_L002_R2_001.fastq.gz,Biki Kundu,Biki Kundu,TRUE,,TRUE,TRUE,electric_coli:biodesign_hnq,,,10/18/2023,3,WT,,,,TRUE,electric_coli,0,pxk_0054
pmg_wt_465,BIKI_NEBR_6_BioDesignER_replicate_3_HNQ_S65,electric_coli,electric_coli,pmg_wt_461;pmg_wt_462,biodesign_dmso,biodesign_hnq,3,WT,MG1655,Batch,No,M9P buffer,30,6.5,pyruvate(2mM),None,"HNQ (20uM), DMSO (10%)",,,,,0.25,,,,PAIRED,ILLUMINA,3,https://doi.org/10.1101/2024.05.30.596743,PRJNA1194191,,,s3://sbrg-sequencing-files/2023-06-29-IGM-NovaSeq/BIKI_NEBR_6_BioDesignER_replicate_3_HNQ_S65_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-06-29-IGM-NovaSeq/BIKI_NEBR_6_BioDesignER_replicate_3_HNQ_S65_L002_R2_001.fastq.gz,Biki Kundu,Biki Kundu,TRUE,,TRUE,TRUE,electric_coli:biodesign_hnq,,,10/18/2023,3,WT,,,,TRUE,electric_coli,0,pxk_0055
pmg_wt_466,ELECOLI_HRS_BioD_DMSO_10_1,electric_coli,electric_coli,pmg_wt_461;pmg_wt_462,biodesign_dmso,ebk_dmso10_biod,1,WT,MG1655,Batch,No,M9,30,6.5,glucose(2mM),,DMSO (10%) only,,,,,,,,,PAIRED,ELEMENT,2,https://doi.org/10.1101/2024.05.30.596743,PRJNA1194191,,,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL010_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL010_R2.fastq.gz,Biki Kundu,Biki Kundu,TRUE,,TRUE,TRUE,electric_coli:ebk_dmso10_biod,,,10/18/2023,,WT,,,,TRUE,electric_coli,0,pxk_0056
pmg_wt_467,ELECOLI_HRS_BioD_DMSO_10_2,electric_coli,electric_coli,pmg_wt_461;pmg_wt_462,biodesign_dmso,ebk_dmso10_biod,2,WT,MG1655,Batch,No,M9,30,6.5,glucose(2mM),,DMSO (10%) only,,,,,,,,,PAIRED,ELEMENT,2,https://doi.org/10.1101/2024.05.30.596743,PRJNA1194191,,,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL011_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL011_R2.fastq.gz,Biki Kundu,Biki Kundu,TRUE,,TRUE,TRUE,electric_coli:ebk_dmso10_biod,,,10/18/2023,,WT,,,,TRUE,electric_coli,0,pxk_0057
pmg_wt_468,ELECOLI_HRS_BioD_HNQ_10_1,electric_coli,electric_coli,pmg_wt_461;pmg_wt_462,biodesign_dmso,ebk_hnq10_biod,1,WT,MG1655,Batch,No,M9,30,6.5,glucose(2mM),,"HNQ (20uM), DMSO (10%)",,,,,,,,,PAIRED,ELEMENT,3,https://doi.org/10.1101/2024.05.30.596743,PRJNA1194191,,,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL013_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL013_R2.fastq.gz,Biki Kundu,Biki Kundu,TRUE,,TRUE,TRUE,electric_coli:ebk_hnq10_biod,,,10/18/2023,,WT,,,,TRUE,electric_coli,0,pxk_0058
pmg_wt_469,ELECOLI_HRS_BioD_HNQ_10_2,electric_coli,electric_coli,pmg_wt_461;pmg_wt_462,biodesign_dmso,ebk_hnq10_biod,2,WT,MG1655,Batch,No,M9,30,6.5,glucose(2mM),,"HNQ (20uM), DMSO (10%)",,,,,,,,,PAIRED,ELEMENT,3,https://doi.org/10.1101/2024.05.30.596743,PRJNA1194191,,,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL014_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL014_R2.fastq.gz,Biki Kundu,Biki Kundu,TRUE,,TRUE,TRUE,electric_coli:ebk_hnq10_biod,,,10/18/2023,,WT,,,,TRUE,electric_coli,0,pxk_0059
pmg_wt_470,ELECOLI_HRS_BioD_HNQ_10_3,electric_coli,electric_coli,pmg_wt_461;pmg_wt_462,biodesign_dmso,ebk_hnq10_biod,3,WT,MG1655,Batch,No,M9,30,6.5,glucose(2mM),,"HNQ (20uM), DMSO (10%)",,,,,,,,,PAIRED,ELEMENT,3,https://doi.org/10.1101/2024.05.30.596743,PRJNA1194191,,,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL015_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL015_R2.fastq.gz,Biki Kundu,Biki Kundu,TRUE,,TRUE,TRUE,electric_coli:ebk_hnq10_biod,,,10/18/2023,,WT,,,,TRUE,electric_coli,0,pxk_0060
pmg_wt_471,ELECOLI_HRS_BioD_HNQ_2_1,electric_coli,electric_coli,pmg_wt_461;pmg_wt_462,biodesign_dmso,ebk_hnq2_biod,1,WT,MG1655,Batch,No,M9,30,6.5,glucose(2mM),,"HNQ (20uM), DMSO (2%)",,,,,,,,,PAIRED,ELEMENT,3,https://doi.org/10.1101/2024.05.30.596743,PRJNA1194191,,,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL016_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL016_R2.fastq.gz,Biki Kundu,Biki Kundu,TRUE,,TRUE,TRUE,electric_coli:ebk_hnq2_biod,,,10/18/2023,,WT,,,,TRUE,electric_coli,0,pxk_0061
pmg_wt_472,ELECOLI_HRS_BioD_HNQ_2_2,electric_coli,electric_coli,pmg_wt_461;pmg_wt_462,biodesign_dmso,ebk_hnq2_biod,2,WT,MG1655,Batch,No,M9,30,6.5,glucose(2mM),,"HNQ (20uM), DMSO (2%)",,,,,,,,,PAIRED,ELEMENT,3,https://doi.org/10.1101/2024.05.30.596743,PRJNA1194191,,,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL017_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL017_R2.fastq.gz,Biki Kundu,Biki Kundu,TRUE,,TRUE,TRUE,electric_coli:ebk_hnq2_biod,,,10/18/2023,,WT,,,,TRUE,electric_coli,0,pxk_0062
pmg_wt_473,ELECOLI_HRS_BioD_HNQ_2_3,electric_coli,electric_coli,pmg_wt_461;pmg_wt_462,biodesign_dmso,ebk_hnq2_biod,3,WT,MG1655,Batch,No,M9,30,6.5,glucose(2mM),,"HNQ (20uM), DMSO (2%)",,,,,,,,,PAIRED,ELEMENT,3,https://doi.org/10.1101/2024.05.30.596743,PRJNA1194191,,,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL018_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL018_R2.fastq.gz,Biki Kundu,Biki Kundu,TRUE,,TRUE,TRUE,electric_coli:ebk_hnq2_biod,,,10/18/2023,,WT,,,,TRUE,electric_coli,0,pxk_0063
pmg_wt_474,fur__wt_dpd__1,Fur,fur,pmg_wt_476;pmg_wt_477,wt_fe,wt_dpd,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),,,0,,,MiSeq,PAIRED,ILLUMINA,2,doi.org/10.1038/ncomms5910,GSE54900,SRX469840,SRR1168135,s3://precise-db/raw_data/fur/WTDPD1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/fur/WTDPD1_S1_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,TRUE,TRUE,TRUE,TRUE,fur:wt_dpd,TRUE,TRUE,10/2/2013,2,WT,,,,TRUE,All Other Studies,1,p1k_00003
pmg_wt_475,fur__wt_dpd__2,Fur,fur,pmg_wt_476;pmg_wt_477,wt_fe,wt_dpd,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),,,0,,,MiSeq,PAIRED,ILLUMINA,2,doi.org/10.1038/ncomms5910,GSE54900,SRX469841,SRR1168136,s3://precise-db/raw_data/fur/WTDPD2_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/fur/WTDPD2_S1_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,TRUE,TRUE,TRUE,TRUE,fur:wt_dpd,TRUE,TRUE,10/2/2013,2,WT,,,,TRUE,All Other Studies,1,p1k_00004
pmg_wt_476,fur__wt_fe__1,Fur,fur,pmg_wt_476;pmg_wt_477,wt_fe,wt_fe,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),,,1.06,,,MiSeq,PAIRED,ILLUMINA,2,doi.org/10.1038/ncomms5910,GSE54900,SRX469838,SRR1168133,s3://precise-db/raw_data/fur/WT-Fe2-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/fur/WT-Fe2-1_S1_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,TRUE,TRUE,TRUE,TRUE,fur:wt_fe,TRUE,TRUE,9/5/2013,2,WT,,,,TRUE,All Other Studies,1,p1k_00005
pmg_wt_477,fur__wt_fe__2,Fur,fur,pmg_wt_476;pmg_wt_477,wt_fe,wt_fe,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),,,1.06,,,MiSeq,PAIRED,ILLUMINA,2,doi.org/10.1038/ncomms5910,GSE54900,SRX469839,SRR1168134,s3://precise-db/raw_data/fur/WT-FE2-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/fur/WT-FE2-2_S2_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,TRUE,TRUE,TRUE,TRUE,fur:wt_fe,TRUE,TRUE,9/5/2013,2,WT,,,,TRUE,All Other Studies,1,p1k_00006
pmg_wt_478,ica__wt_glc__1,ICA,ica,pmg_wt_478;pmg_wt_479;pmg_wt_480;pmg_wt_481;pmg_wt_502;pmg_wt_503,wt_glc,wt_glc,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,,,0.58,,,HiSeq 4000,PAIRED,ILLUMINA,4,doi.org/10.1038/s41467-019-13483-w,GSE122295,SRX4993780,SRR8173227,s3://precise-db/raw_data/ica/ICA_HRS_Control11_1M9GlucoseAerobicrep1_S48_L002_R1_001.fastq,s3://precise-db/raw_data/ica/ICA_HRS_Control11_1M9GlucoseAerobicrep1_S48_L002_R2_001.fastq,Anand Sastry,Ying Hefner,TRUE,TRUE,TRUE,TRUE,ica:wt_glc,TRUE,TRUE,12/10/2017,6,WT,,,,TRUE,All Other Studies,1,p1k_00161
pmg_wt_479,ica__wt_glc__2,ICA,ica,pmg_wt_478;pmg_wt_479;pmg_wt_480;pmg_wt_481;pmg_wt_502;pmg_wt_503,wt_glc,wt_glc,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,,,0.58,,,HiSeq 4000,PAIRED,ILLUMINA,4,doi.org/10.1038/s41467-019-13483-w,GSE122295,SRX4993781,SRR8173228,s3://precise-db/raw_data/ica/ICA_HRS_Control11_2M9GlucoseAerobicrep2_S49_L002_R1_001.fastq,s3://precise-db/raw_data/ica/ICA_HRS_Control11_2M9GlucoseAerobicrep2_S49_L002_R2_001.fastq,Anand Sastry,Ying Hefner,TRUE,TRUE,TRUE,TRUE,ica:wt_glc,TRUE,TRUE,12/10/2017,6,WT,,,,TRUE,All Other Studies,1,p1k_00162
pmg_wt_480,ica__wt_glc__3,ICA,ica,pmg_wt_478;pmg_wt_479;pmg_wt_480;pmg_wt_481;pmg_wt_502;pmg_wt_503,wt_glc,wt_glc,3,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,,,0.66,,,HiSeq 4000,PAIRED,ILLUMINA,4,doi.org/10.1038/s41467-019-13483-w,GSE122295,SRX4993782,SRR8173229,s3://precise-db/raw_data/ica/ICA_HRS_Control15rep1_S14_L007_R1_001.fastq,s3://precise-db/raw_data/ica/ICA_HRS_Control15rep1_S14_L007_R2_001.fastq,Anand Sastry,Ying Hefner,TRUE,TRUE,TRUE,TRUE,ica:wt_glc,TRUE,TRUE,12/23/2017,6,WT,,,,TRUE,All Other Studies,1,p1k_00163
pmg_wt_481,ica__wt_glc__4,ICA,ica,pmg_wt_478;pmg_wt_479;pmg_wt_480;pmg_wt_481;pmg_wt_502;pmg_wt_503,wt_glc,wt_glc,4,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,,,0.66,,,HiSeq 4000,PAIRED,ILLUMINA,4,doi.org/10.1038/s41467-019-13483-w,GSE122295,SRX4993783,SRR8173230,s3://precise-db/raw_data/ica/ICA_HRS_Control15rep2_S6_L007_R1_001.fastq,s3://precise-db/raw_data/ica/ICA_HRS_Control15rep2_S6_L007_R2_001.fastq,Anand Sastry,Ying Hefner,TRUE,TRUE,TRUE,TRUE,ica:wt_glc,TRUE,TRUE,12/23/2017,6,WT,,,,TRUE,All Other Studies,1,p1k_00164
pmg_wt_482,ica__arg_sbt__1,ICA,ica,pmg_wt_478;pmg_wt_479;pmg_wt_480;pmg_wt_481;pmg_wt_502;pmg_wt_503,wt_glc,arg_sbt,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,sorbitol(4),NH4Cl(1),O2,sauer trace element mixture,L-arginine (5.75mM),,,0.27,,,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41467-019-13483-w,GSE122295,SRX4993784,SRR8173231,s3://precise-db/raw_data/ica/ICA_HRS_ArgenineSorbitolSupplementationrep1_S36_L002_R1_001.fastq,s3://precise-db/raw_data/ica/ICA_HRS_ArgenineSorbitolSupplementationrep1_S36_L002_R2_001.fastq,Anand Sastry,Ying Hefner,TRUE,TRUE,TRUE,TRUE,ica:arg_sbt,TRUE,TRUE,12/10/2017,2,WT,,,,TRUE,All Other Studies,1,p1k_00165
pmg_wt_483,ica__arg_sbt__2,ICA,ica,pmg_wt_478;pmg_wt_479;pmg_wt_480;pmg_wt_481;pmg_wt_502;pmg_wt_503,wt_glc,arg_sbt,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,sorbitol(4),NH4Cl(1),O2,sauer trace element mixture,L-arginine (5.75mM),,,0.27,,,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41467-019-13483-w,GSE122295,SRX4993785,SRR8173232,s3://precise-db/raw_data/ica/ICA_HRS_ArgenineSorbitolSupplementationrep2_S37_L002_R1_001.fastq,s3://precise-db/raw_data/ica/ICA_HRS_ArgenineSorbitolSupplementationrep2_S37_L002_R2_001.fastq,Anand Sastry,Ying Hefner,TRUE,TRUE,TRUE,TRUE,ica:arg_sbt,TRUE,TRUE,12/10/2017,2,WT,,,,TRUE,All Other Studies,1,p1k_00166
pmg_wt_484,ica__cytd_rib__1,ICA,ica,pmg_wt_478;pmg_wt_479;pmg_wt_480;pmg_wt_481;pmg_wt_502;pmg_wt_503,wt_glc,cytd_rib,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,D-ribose(4),NH4Cl(1),O2,sauer trace element mixture,cytidine (1mM),,,0.31,,,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41467-019-13483-w,GSE122295,SRX4993786,SRR8173233,s3://precise-db/raw_data/ica/ICA_HRS_CytidineD_riboseSupplementationrep1_S46_L002_R1_001.fastq,s3://precise-db/raw_data/ica/ICA_HRS_CytidineD_riboseSupplementationrep1_S46_L002_R2_001.fastq,Anand Sastry,Ying Hefner,TRUE,TRUE,TRUE,TRUE,ica:cytd_rib,TRUE,TRUE,12/23/2017,2,WT,,,,TRUE,All Other Studies,1,p1k_00167
pmg_wt_485,ica__cytd_rib__2,ICA,ica,pmg_wt_478;pmg_wt_479;pmg_wt_480;pmg_wt_481;pmg_wt_502;pmg_wt_503,wt_glc,cytd_rib,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,D-ribose(4),NH4Cl(1),O2,sauer trace element mixture,cytidine (1mM),,,0.31,,,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41467-019-13483-w,GSE122295,SRX4993787,SRR8173234,s3://precise-db/raw_data/ica/ICA_HRS_CytidineD_riboseSupplementationrep2_S47_L002_R1_001.fastq,s3://precise-db/raw_data/ica/ICA_HRS_CytidineD_riboseSupplementationrep2_S47_L002_R2_001.fastq,Anand Sastry,Ying Hefner,TRUE,TRUE,TRUE,TRUE,ica:cytd_rib,TRUE,TRUE,12/23/2017,2,WT,,,,TRUE,All Other Studies,1,p1k_00168
pmg_wt_486,ica__gth__1,ICA,ica,pmg_wt_478;pmg_wt_479;pmg_wt_480;pmg_wt_481;pmg_wt_502;pmg_wt_503,wt_glc,gth,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture w/o MgSO4,glutathione (1mM),,,0.07,,,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41467-019-13483-w,GSE122295,SRX4993788,SRR8173235,s3://precise-db/raw_data/ica/ICA_HRS_Glutathione_SO4rep1_S15_L007_R1_001.fastq,s3://precise-db/raw_data/ica/ICA_HRS_Glutathione_SO4rep1_S15_L007_R2_001.fastq,Anand Sastry,Ying Hefner,TRUE,TRUE,TRUE,TRUE,ica:gth,TRUE,TRUE,12/23/2017,2,WT,,,,TRUE,All Other Studies,1,p1k_00169
pmg_wt_487,ica__gth__2,ICA,ica,pmg_wt_478;pmg_wt_479;pmg_wt_480;pmg_wt_481;pmg_wt_502;pmg_wt_503,wt_glc,gth,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture w/o MgSO4,glutathione (1mM),,,0.07,,,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41467-019-13483-w,GSE122295,SRX4993789,SRR8173236,s3://precise-db/raw_data/ica/ICA_HRS_Glutathione_SO4rep2_S10_L007_R1_001.fastq,s3://precise-db/raw_data/ica/ICA_HRS_Glutathione_SO4rep2_S10_L007_R2_001.fastq,Anand Sastry,Ying Hefner,TRUE,TRUE,TRUE,TRUE,ica:gth,TRUE,TRUE,12/23/2017,2,WT,,,,TRUE,All Other Studies,1,p1k_00170
pmg_wt_488,ica__leu_glcr__1,ICA,ica,pmg_wt_478;pmg_wt_479;pmg_wt_480;pmg_wt_481;pmg_wt_502;pmg_wt_503,wt_glc,leu_glcr,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucarate(4),NH4Cl(1),O2,sauer trace element mixture,leucine (10mM),,,0.29,,,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41467-019-13483-w,GSE122295,SRX4993790,SRR8173237,s3://precise-db/raw_data/ica/ICA_HRS_LeucineSaccharicAcidSupplementationrep1_S34_L002_R1_001.fastq,s3://precise-db/raw_data/ica/ICA_HRS_LeucineSaccharicAcidSupplementationrep1_S34_L002_R2_001.fastq,Anand Sastry,Ying Hefner,TRUE,TRUE,TRUE,TRUE,ica:leu_glcr,TRUE,TRUE,12/10/2017,2,WT,,,,TRUE,All Other Studies,1,p1k_00171
